Building model ...
Initializing global variables ... 
Starting training for 32 epochs
Epoch	0	loss	degree_cost	TPR	TNR	PPV	NPV	FNR	FPR	FDR	FOR	ACC	F1	MCC	BM	MK	P@10min	P@10max	AUC	degree_TPR	degree_TNR	degree_PPV	degree_NPV	degree_FNR	degree_FPR	degree_FDR	degree_FOR	degree_ACC	degree_F1	degree_MCC	degree_BM	degree_MK	degree_P@10min	degree_P@10max	degree_AUC
batch	0	0.7484300136566162	0.7484300136566162	0.9999488894320562	0.00010405685266599134	0.36466184638088045	0.228125	5.1110567943921036e-05	0.9998959431473339	0.6353381536191194	0.05312499999999999	0.3647061057243744	0.532742248504677	0.0013142804875929453	5.294628472207047e-05	-0.40721315361911953	0.3810833260451062	0.0	0.1314349931373684	0.9999488894320562	0.00010405685266599134	0.36466184638088045	0.228125	5.1110567943921036e-05	0.9998959431473339	0.6353381536191194	0.05312499999999999	0.3647061057243744	0.532742248504677	0.0013142804875929453	5.294628472207047e-05	-0.40721315361911953	0.3810833260451062	0.0	0.1314349931373684
batch	1	0.7438620328903198	0.7438620328903198	0.999911618645515	9.894357483819773e-05	0.3682443858938968	0.11770833333333333	8.838135448484418e-05	0.9999010564251619	0.6317556141061034	0.03854166666666667	0.3682854330127343	0.5360757528822937	0.00028243294852936697	1.0562220353355772e-05	-0.5140472807727698	0.35510244984621725	0.0	0.13158371695307805	0.999911618645515	9.894357483819773e-05	0.3682443858938968	0.11770833333333333	8.838135448484418e-05	0.9999010564251619	0.6317556141061034	0.03854166666666667	0.3682854330127343	0.5360757528822937	0.00028243294852936697	1.0562220353355772e-05	-0.5140472807727698	0.35510244984621725	0.0	0.13158371695307805
batch	2	0.7457032203674316	0.7457032203674316	0.9998022688214695	0.00013224513019669714	0.37135934035199863	0.17282196969696972	0.00019773117853034782	0.9998677548698033	0.6286406596480013	0.1084280303030303	0.3714058940580676	0.5387377775485223	-0.0012392064731407552	-6.548604833365654e-05	-0.4558186899510316	0.3622608511720785	0.0	0.14013339637354932	0.9998022688214695	0.00013224513019669714	0.37135934035199863	0.17282196969696972	0.00019773117853034782	0.9998677548698033	0.6286406596480013	0.1084280303030303	0.3714058940580676	0.5387377775485223	-0.0012392064731407552	-6.548604833365654e-05	-0.4558186899510316	0.3622608511720785	0.0	0.14013339637354932
batch	3	0.7397159337997437	0.7397159337997437	0.9999318749215517	0.00013858006522089842	0.3630131942981128	0.17708333333333331	6.812507844825885e-05	0.9998614199347791	0.6369868057018871	0.041666666666666664	0.3630746768543199	0.5307766266202857	0.0012222435513791837	7.045498677264381e-05	-0.45990347236855394	0.3760836736035823	0.0	0.12443191120424087	0.9999318749215517	0.00013858006522089842	0.3630131942981128	0.17708333333333331	6.812507844825885e-05	0.9998614199347791	0.6369868057018871	0.041666666666666664	0.3630746768543199	0.5307766266202857	0.0012222435513791837	7.045498677264381e-05	-0.45990347236855394	0.3760836736035823	0.0	0.12443191120424087
batch	4	0.7454245686531067	0.7454245686531067	0.9998242402303901	0.00017732158127750018	0.3578689328314829	0.17664930555555558	0.00017575976960998227	0.9998226784187225	0.6421310671685173	0.10460069444444443	0.3579372572891189	0.5248116436990253	-0.0005521690044610983	1.5618116675150673e-06	-0.4654817616129617	0.3714003484249925	0.0	0.13419461803932903	0.9998242402303901	0.00017732158127750018	0.3578689328314829	0.17664930555555558	0.00017575976960998227	0.9998226784187225	0.6421310671685173	0.10460069444444443	0.3579372572891189	0.5248116436990253	-0.0005521690044610983	1.5618116675150673e-06	-0.4654817616129617	0.3714003484249925	0.0	0.13419461803932903
batch	5	0.7377706170082092	0.7377706170082092	0.9999014036263383	0.00012249288195131892	0.3621339077278915	0.16979166666666665	9.85963736618065e-05	0.9998775071180486	0.6378660922721084	0.048958333333333326	0.3621825812380573	0.5294103933244378	0.0006822441919514551	2.389650828951012e-05	-0.4680744256054417	0.39676860097565314	0.0	0.12965978192406674	0.9999014036263383	0.00012249288195131892	0.3621339077278915	0.16979166666666665	9.85963736618065e-05	0.9998775071180486	0.6378660922721084	0.048958333333333326	0.3621825812380573	0.5294103933244378	0.0006822441919514551	2.389650828951012e-05	-0.4680744256054417	0.39676860097565314	0.0	0.12965978192406674
batch	6	0.7292006015777588	0.7292006015777588	0.9997899369413376	9.847290611735636e-05	0.391139199434152	0.09166666666666667	0.00021006305866240813	0.9999015270938827	0.608860800565848	0.06458333333333333	0.39117097135485307	0.5596923789661468	-0.001455492307588862	-0.00011159015254505467	-0.5171941338991812	0.32817884736181585	0.0	0.15032857293884225	0.9997899369413376	9.847290611735636e-05	0.391139199434152	0.09166666666666667	0.00021006305866240813	0.9999015270938827	0.608860800565848	0.06458333333333333	0.39117097135485307	0.5596923789661468	-0.001455492307588862	-0.00011159015254505467	-0.5171941338991812	0.32817884736181585	0.0	0.15032857293884225
batch	7	0.715532660484314	0.715532660484314	1.0	0.0	0.3901841332500918	0.0	0.0	1.0	0.6098158667499082	0.0	0.3901841332500918	0.5597969349202045	0.0	0.0	-0.6098158667499082	0.2965174363979163	0.0	0.1216066390977966	1.0	0.0	0.3901841332500918	0.0	0.0	1.0	0.6098158667499082	0.0	0.3901841332500918	0.5597969349202045	0.0	0.0	-0.6098158667499082	0.2965174363979163	0.0	0.1216066390977966
batch	8	0.7314354181289673	0.7314354181289673	0.9998062040341187	0.00012097918502329052	0.3784730981182208	0.09832589285714285	0.00019379596588132647	0.9998790208149768	0.6215269018817792	0.057924107142857145	0.3785127184290984	0.5465704451511353	-0.0009418282745022034	-7.28167808580274e-05	-0.5232010090246363	0.3250748143122483	0.0	0.1485023630436263	0.9998062040341187	0.00012097918502329052	0.3784730981182208	0.09832589285714285	0.00019379596588132647	0.9998790208149768	0.6215269018817792	0.057924107142857145	0.3785127184290984	0.5465704451511353	-0.0009418282745022034	-7.28167808580274e-05	-0.5232010090246363	0.3250748143122483	0.0	0.1485023630436263
batch	9	0.7340548038482666	0.7340548038482666	0.9997408592197315	0.00013743274445683962	0.3785899198141786	0.11565075549450549	0.0002591407802683912	0.9998625672555431	0.6214100801858214	0.1030992445054945	0.3786327533374258	0.546486201783966	-0.002147054750553903	-0.00012170803581154632	-0.505759324691316	0.3228112669881988	0.0	0.1594290536967057	0.9997408592197315	0.00013743274445683962	0.3785899198141786	0.11565075549450549	0.0002591407802683912	0.9998625672555431	0.6214100801858214	0.1030992445054945	0.3786327533374258	0.546486201783966	-0.002147054750553903	-0.00012170803581154632	-0.505759324691316	0.3228112669881988	0.0	0.1594290536967057
