Building model ...
Initializing global variables ... 
Starting training for 32 epochs
Epoch	0	loss	betweenness_cost	TPR	TNR	PPV	NPV	FNR	FPR	FDR	FOR	ACC	F1	MCC	BM	MK	P@10min	P@10max	AUC	betweenness_TPR	betweenness_TNR	betweenness_PPV	betweenness_NPV	betweenness_FNR	betweenness_FPR	betweenness_FDR	betweenness_FOR	betweenness_ACC	betweenness_F1	betweenness_MCC	betweenness_BM	betweenness_MK	betweenness_P@10min	betweenness_P@10max	betweenness_AUC
batch	0	0.02252291515469551	0.022522853687405586	0.47220993301247743	0.46050168264948615	0.41510587594577575	0.5066002426817405	0.5277900669875225	0.5394983173505138	0.5848941240542244	0.49339975731825947	0.463049197240782	0.4397669581995462	-0.0729022828787801	-0.06728838433803648	-0.07829388137248376	0.34375	0.03125	0.4663558078309818	0.47220993301247743	0.46050168264948615	0.41510587594577575	0.5066002426817405	0.5277900669875225	0.5394983173505138	0.5848941240542244	0.49339975731825947	0.463049197240782	0.4397669581995462	-0.0729022828787801	-0.06728838433803648	-0.07829388137248376	0.34375	0.03125	0.4663558078309818
batch	1	0.01643695868551731	0.016436897218227386	0.44804705126126326	0.4355501580453879	0.3926716986370255	0.4785091058263546	0.5519529487387368	0.564449841954612	0.6073283013629744	0.5214908941736454	0.4377666651029575	0.4157836701120067	-0.12278884521819505	-0.11640279069334881	-0.1288191955366198	0.296875	0.04687500000000001	0.44179860465332566	0.44804705126126326	0.4355501580453879	0.3926716986370255	0.4785091058263546	0.5519529487387368	0.564449841954612	0.6073283013629744	0.5214908941736454	0.4377666651029575	0.4157836701120067	-0.12278884521819505	-0.11640279069334881	-0.1288191955366198	0.296875	0.04687500000000001	0.44179860465332566
batch	2	0.0185483880341053	0.018548326566815376	0.4664282695309387	0.45423779616161813	0.4067948999349212	0.4996221259944917	0.5335717304690613	0.5457622038383819	0.5932051000650786	0.5003778740055083	0.45618866279803155	0.4318885333331451	-0.08665566689527421	-0.0793339343074431	-0.09358297407058697	0.35312499999999997	0.07187500000000001	0.46033303284627836	0.4664282695309387	0.45423779616161813	0.4067948999349212	0.4996221259944917	0.5335717304690613	0.5457622038383819	0.5932051000650786	0.5003778740055083	0.45618866279803155	0.4318885333331451	-0.08665566689527421	-0.0793339343074431	-0.09358297407058697	0.35312499999999997	0.07187500000000001	0.46033303284627836
batch	3	0.016215549781918526	0.0162154883146286	0.4372080302721899	0.4358940375040941	0.3943707148790366	0.4694984339091544	0.5627919697278101	0.5641059624959058	0.6056292851209635	0.5305015660908455	0.4339255906422006	0.41272647410031704	-0.13162778572130926	-0.12689793222371606	-0.13613085121180898	0.30937499999999996	0.09062500000000001	0.43655103388814204	0.4372080302721899	0.4358940375040941	0.3943707148790366	0.4694984339091544	0.5627919697278101	0.5641059624959058	0.6056292851209635	0.5305015660908455	0.4339255906422006	0.41272647410031704	-0.13162778572130926	-0.12689793222371606	-0.13613085121180898	0.30937499999999996	0.09062500000000001	0.43655103388814204
batch	4	0.019563963636755943	0.01956390216946602	0.4565755767226236	0.4445420145199295	0.39945418518007586	0.48995836895702843	0.5434244232773765	0.5554579854800705	0.6005458148199242	0.5100416310429716	0.44670884275747813	0.42368510816169713	-0.10487281157752117	-0.098882408757447	-0.11058744586289565	0.359375	0.07812500000000001	0.45055879562127643	0.4565755767226236	0.4445420145199295	0.39945418518007586	0.48995836895702843	0.5434244232773765	0.5554579854800705	0.6005458148199242	0.5100416310429716	0.44670884275747813	0.42368510816169713	-0.10487281157752117	-0.098882408757447	-0.11058744586289565	0.359375	0.07812500000000001	0.45055879562127643
batch	5	0.016845813021063805	0.01684575155377388	0.43619959003695125	0.43338873271525225	0.39744648271963373	0.4642397699088311	0.5638004099630489	0.5666112672847479	0.6025535172803663	0.535760230091169	0.4326044203471517	0.41423370762595374	-0.1344502214204686	-0.1304116772477965	-0.13831374737153518	0.32187499999999997	0.10312500000000001	0.4347941613761017	0.43619959003695125	0.43338873271525225	0.39744648271963373	0.4642397699088311	0.5638004099630489	0.5666112672847479	0.6025535172803663	0.535760230091169	0.4326044203471517	0.41423370762595374	-0.1344502214204686	-0.1304116772477965	-0.13831374737153518	0.32187499999999997	0.10312500000000001	0.4347941613761017
batch	6	0.010922270826995373	0.010922208428382874	0.397673603366568	0.3966998920505344	0.3602785268979064	0.42492705009944937	0.6023263966334321	0.6033001079494655	0.6397214731020938	0.5750729499005505	0.39419926662544175	0.37542001137691355	-0.21038313472181927	-0.20562650458289763	-0.2147944230026441	0.27499999999999997	0.11875000000000001	0.3971867477085512	0.397673603366568	0.3966998920505344	0.3602785268979064	0.42492705009944937	0.6023263966334321	0.6033001079494655	0.6397214731020938	0.5750729499005505	0.39419926662544175	0.37542001137691355	-0.21038313472181927	-0.20562650458289763	-0.2147944230026441	0.27499999999999997	0.11875000000000001	0.3971867477085512
batch	7	0.0018480136059224606	0.0018479515565559268	0.36170078743909245	0.37916209572775733	0.3614549081717104	0.37940554305553326	0.6382992125609077	0.6208379042722425	0.6385450918282897	0.6205944569444667	0.3705818196361287	0.361577707001339	-0.25913833286066923	-0.25913711683315027	-0.2591395487727565	0.21562500000000004	0.21562500000000004	0.37043144158342484	0.36170078743909245	0.37916209572775733	0.3614549081717104	0.37940554305553326	0.6382992125609077	0.6208379042722425	0.6385450918282897	0.6205944569444667	0.3705818196361287	0.361577707001339	-0.25913833286066923	-0.25913711683315027	-0.2591395487727565	0.21562500000000004	0.21562500000000004	0.37043144158342484
batch	8	0.013691303320229053	0.013691240921616554	0.4076714949663136	0.40751882865301514	0.37236941070701324	0.43572951257622233	0.5923285050336864	0.592481171346985	0.6276305892929868	0.5642704874237776	0.40550562790338296	0.3875678490625616	-0.18842960125648467	-0.18480967638067125	-0.19190107671676443	0.29375	0.10625000000000002	0.4075951618096644	0.4076714949663136	0.40751882865301514	0.37236941070701324	0.43572951257622233	0.5923285050336864	0.592481171346985	0.6276305892929868	0.5642704874237776	0.40550562790338296	0.3875678490625616	-0.18842960125648467	-0.18480967638067125	-0.19190107671676443	0.29375	0.10625000000000002	0.4075951618096644
batch	9	0.015349957160651684	0.015349894762039185	0.44279480569248214	0.4368575355681324	0.39978953158282043	0.47064445392359894	0.5572051943075179	0.5631424644318676	0.6002104684171795	0.5293555460764011	0.43697890002394796	0.41812863248247895	-0.12507271671022374	-0.12034765873938544	-0.12956601449358068	0.37499999999999994	0.15625	0.4398261706303072	0.44279480569248214	0.4368575355681324	0.39978953158282043	0.47064445392359894	0.5572051943075179	0.5631424644318676	0.6002104684171795	0.5293555460764011	0.43697890002394796	0.41812863248247895	-0.12507271671022374	-0.12034765873938544	-0.12956601449358068	0.37499999999999994	0.15625	0.4398261706303072
