Building model ...
Initializing global variables ... 
Starting training for 32 epochs
Epoch	0	loss	betweenness_cost	TPR	TNR	PPV	NPV	FNR	FPR	FDR	FOR	ACC	F1	MCC	BM	MK	P@10min	P@10max	AUC	betweenness_TPR	betweenness_TNR	betweenness_PPV	betweenness_NPV	betweenness_FNR	betweenness_FPR	betweenness_FDR	betweenness_FOR	betweenness_ACC	betweenness_F1	betweenness_MCC	betweenness_BM	betweenness_MK	betweenness_P@10min	betweenness_P@10max	betweenness_AUC
batch	0	0.11753284931182861	0.11753278970718384	0.4723079262812185	0.45980602239750806	0.41474170566620105	0.5061491928900557	0.5276920737187815	0.540193977602492	0.5852582943337991	0.49385080710994433	0.4626359824248122	0.43960333439763327	-0.07361074268427416	-0.06788605132127343	-0.07910910144374328	0.34375	0.03125	0.4660569743393634	0.4723079262812185	0.45980602239750806	0.41474170566620105	0.5061491928900557	0.5276920737187815	0.540193977602492	0.5852582943337991	0.49385080710994433	0.4626359824248122	0.43960333439763327	-0.07361074268427416	-0.06788605132127343	-0.07910910144374328	0.34375	0.03125	0.4660569743393634
batch	1	0.10067134350538254	0.10067128390073776	0.4353046329860506	0.4235185165400763	0.38013743411188533	0.46636966862783297	0.5646953670139494	0.5764814834599237	0.6198625658881148	0.5336303313721669	0.42543873538838084	0.403163575837153	-0.14751138261098296	-0.14117685047387307	-0.1534928972602816	0.29374999999999996	0.043750000000000004	0.4294115747630636	0.4353046329860506	0.4235185165400763	0.38013743411188533	0.46636966862783297	0.5646953670139494	0.5764814834599237	0.6198625658881148	0.5336303313721669	0.42543873538838084	0.403163575837153	-0.14751138261098296	-0.14117685047387307	-0.1534928972602816	0.29374999999999996	0.043750000000000004	0.4294115747630636
batch	2	0.09782883524894714	0.09782877564430237	0.4509933854623337	0.4416230367107178	0.39265726971826154	0.48642897011600605	0.5490066145376664	0.5583769632892821	0.6073427302817385	0.513571029883994	0.44254802041571695	0.4171983066349725	-0.11433665207894261	-0.10738357782694857	-0.1209137601657323	0.3406249999999999	0.05937500000000001	0.44630821108652574	0.4509933854623337	0.4416230367107178	0.39265726971826154	0.48642897011600605	0.5490066145376664	0.5583769632892821	0.6073427302817385	0.513571029883994	0.44254802041571695	0.4171983066349725	-0.11433665207894261	-0.10738357782694857	-0.1209137601657323	0.3406249999999999	0.05937500000000001	0.44630821108652574
batch	3	0.07960326224565506	0.07960320264101028	0.42112636837267675	0.4205315194934018	0.3782642420783088	0.454189503473563	0.5788736316273233	0.5794684805065983	0.6217357579216912	0.5458104965264369	0.41822722465259504	0.39663233830017286	-0.16305654926973653	-0.15834211213392146	-0.1675462544481282	0.29375	0.07500000000000001	0.42082894393303916	0.42112636837267675	0.4205315194934018	0.3782642420783088	0.454189503473563	0.5788736316273233	0.5794684805065983	0.6217357579216912	0.5458104965264369	0.41822722465259504	0.39663233830017286	-0.16305654926973653	-0.15834211213392146	-0.1675462544481282	0.29375	0.07500000000000001	0.42082894393303916
batch	4	0.08017310500144958	0.08017304539680481	0.4483736451944305	0.4370043350569468	0.3914891256323805	0.48230631779881356	0.5516263548055695	0.562995664943053	0.6085108743676196	0.5176936822011863	0.43890317606893	0.41561789073408734	-0.12054980423946274	-0.11462201974862263	-0.12620455656880597	0.34374999999999994	0.06250000000000001	0.44268899012568863	0.4483736451944305	0.4370043350569468	0.3914891256323805	0.48230631779881356	0.5516263548055695	0.562995664943053	0.6085108743676196	0.5176936822011863	0.43890317606893	0.41561789073408734	-0.12054980423946274	-0.11462201974862263	-0.12620455656880597	0.34374999999999994	0.06250000000000001	0.44268899012568863
batch	5	0.06748916953802109	0.06748910993337631	0.42612319552914774	0.42365413051101625	0.3874039460565116	0.4545144203473534	0.5738768044708523	0.5763458694889838	0.6125960539434885	0.5454855796526467	0.42271636217206665	0.4041750849853383	-0.15423900886794584	-0.15022267395983602	-0.15808163359613495	0.303125	0.08437500000000002	0.4248886630200819	0.42612319552914774	0.42365413051101625	0.3874039460565116	0.4545144203473534	0.5738768044708523	0.5763458694889838	0.6125960539434885	0.5454855796526467	0.42271636217206665	0.4041750849853383	-0.15423900886794584	-0.15022267395983602	-0.15808163359613495	0.303125	0.08437500000000002	0.4248886630200819
batch	6	0.057826343923807144	0.05782628059387207	0.37311974121484387	0.3738255104711136	0.33619431197148275	0.401840083464932	0.626880258785156	0.6261744895288864	0.6638056880285171	0.5981599165350682	0.37062782493310437	0.3511387190668752	-0.2576788582819297	-0.25305474831404234	-0.2619656045635851	0.26875	0.11250000000000002	0.3734726258429789	0.37311974121484387	0.3738255104711136	0.33619431197148275	0.401840083464932	0.626880258785156	0.6261744895288864	0.6638056880285171	0.5981599165350682	0.37062782493310437	0.3511387190668752	-0.2576788582819297	-0.25305474831404234	-0.2619656045635851	0.26875	0.11250000000000002	0.3734726258429789
batch	7	0.030050722882151604	0.03005066141486168	0.3298327191026507	0.34846172015167554	0.32960642819812963	0.34868730606928816	0.6701672808973493	0.6515382798483244	0.6703935718018702	0.6513126939307117	0.3393104637819991	0.3297194427068203	-0.3217059132733861	-0.3217055607456737	-0.3217062657325822	0.2	0.2	0.3391472196271631	0.3298327191026507	0.34846172015167554	0.32960642819812963	0.34868730606928816	0.6701672808973493	0.6515382798483244	0.6703935718018702	0.6513126939307117	0.3393104637819991	0.3297194427068203	-0.3217059132733861	-0.3217055607456737	-0.3217062657325822	0.2	0.2	0.3391472196271631
batch	8	0.04819541424512863	0.04819535091519356	0.37685813422659387	0.3777564911022272	0.3416591126689801	0.40590876658070174	0.6231418657734059	0.6222435088977727	0.6583408873310198	0.5940912334192983	0.37524911589937904	0.35681144604250703	-0.24898255317037676	-0.24538537467117877	-0.2524321207503179	0.26875	0.08124999999999999	0.37730731266441064	0.37685813422659387	0.3777564911022272	0.3416591126689801	0.40590876658070174	0.6231418657734059	0.6222435088977727	0.6583408873310198	0.5940912334192983	0.37524911589937904	0.35681144604250703	-0.24898255317037676	-0.24538537467117877	-0.2524321207503179	0.26875	0.08124999999999999	0.37730731266441064
batch	9	0.04735719785094261	0.04735713452100754	0.3946724369700149	0.3914850351585854	0.3523842332748687	0.424895851431066	0.6053275630299851	0.6085149648414147	0.6476157667251313	0.5751041485689341	0.3904256992108004	0.37041359198966783	-0.21839321004981074	-0.21384252787139965	-0.22271991529406535	0.321875	0.10312500000000001	0.39307873606430027	0.3946724369700149	0.3914850351585854	0.3523842332748687	0.424895851431066	0.6053275630299851	0.6085149648414147	0.6476157667251313	0.5751041485689341	0.3904256992108004	0.37041359198966783	-0.21839321004981074	-0.21384252787139965	-0.22271991529406535	0.321875	0.10312500000000001	0.39307873606430027
