Building model ...
Initializing global variables ... 
Starting training for 32 epochs
Epoch	0	loss	eigenvector_cost	TPR	TNR	PPV	NPV	FNR	FPR	FDR	FOR	ACC	F1	MCC	BM	MK	P@10min	P@10max	AUC	eigenvector_TPR	eigenvector_TNR	eigenvector_PPV	eigenvector_NPV	eigenvector_FNR	eigenvector_FPR	eigenvector_FDR	eigenvector_FOR	eigenvector_ACC	eigenvector_F1	eigenvector_MCC	eigenvector_BM	eigenvector_MK	eigenvector_P@10min	eigenvector_P@10max	eigenvector_AUC
batch	0	0.13826915621757507	0.1382690966129303	0.213355120366561	0.2533826340737861	0.21335721574048677	0.25338008721923233	0.786644879633439	0.7466173659262139	0.7866427842595133	0.7466199127807676	0.234295607884282	0.21335616795672677	-0.5332624712990239	-0.533262245559653	-0.5332626970402808	0.00625	0.00625	0.23336887722017352	0.213355120366561	0.2533826340737861	0.21335721574048677	0.25338008721923233	0.786644879633439	0.7466173659262139	0.7866427842595133	0.7466199127807676	0.234295607884282	0.21335616795672677	-0.5332624712990239	-0.533262245559653	-0.5332626970402808	0.00625	0.00625	0.23336887722017352
batch	1	0.12928849458694458	0.1292884349822998	0.2055102790254061	0.2416915543410719	0.20526691045097564	0.24197923916924485	0.7944897209745939	0.7583084456589281	0.7947330895490243	0.7580207608307552	0.22437664781263456	0.20538684133330576	-0.5527759837455959	-0.5527981666335219	-0.5527538503797794	0.021875	0.021875	0.223600916683239	0.2055102790254061	0.2416915543410719	0.20526691045097564	0.24197923916924485	0.7944897209745939	0.7583084456589281	0.7947330895490243	0.7580207608307552	0.22437664781263456	0.20538684133330576	-0.5527759837455959	-0.5527981666335219	-0.5527538503797794	0.021875	0.021875	0.223600916683239
batch	2	0.12450212985277176	0.12450207024812698	0.1961004210478709	0.243624971703113	0.1961031371131855	0.24362131817247165	0.8038995789521292	0.7563750282968871	0.8038968628868146	0.7563786818275284	0.2213058601189176	0.19610177892410002	-0.5602750759771394	-0.5602746072490161	-0.5602755447143428	0.025	0.025	0.21986269637549194	0.1961004210478709	0.243624971703113	0.1961031371131855	0.24362131817247165	0.8038995789521292	0.7563750282968871	0.8038968628868146	0.7563786818275284	0.2213058601189176	0.19610177892410002	-0.5602750759771394	-0.5602746072490161	-0.5602755447143428	0.025	0.025	0.21986269637549194
batch	3	0.10987210273742676	0.10987204313278198	0.19449472166360982	0.235764060598667	0.19450092706366093	0.235756337358363	0.8055052783363901	0.7642359394013332	0.8054990729363392	0.764243662641637	0.21611235112580718	0.19449782370843802	-0.5697419766537398	-0.5697412177377232	-0.5697427355779762	0.025	0.025	0.21512939113113844	0.19449472166360982	0.235764060598667	0.19450092706366093	0.235756337358363	0.8055052783363901	0.7642359394013332	0.8054990729363392	0.764243662641637	0.21611235112580718	0.19449782370843802	-0.5697419766537398	-0.5697412177377232	-0.5697427355779762	0.025	0.025	0.21512939113113844
batch	4	0.09899380803108215	0.09899374842643738	0.2058264746782967	0.24429431183151834	0.20568896981576312	0.24445794450162955	0.7941735253217035	0.7557056881684816	0.794311030184237	0.7555420554983704	0.22581967259704183	0.20575709894406935	-0.5498661402412724	-0.5498792134901852	-0.5498530856826076	0.040625	0.040625	0.22506039325490754	0.2058264746782967	0.24429431183151834	0.20568896981576312	0.24445794450162955	0.7941735253217035	0.7557056881684816	0.794311030184237	0.7555420554983704	0.22581967259704183	0.20575709894406935	-0.5498661402412724	-0.5498792134901852	-0.5498530856826076	0.040625	0.040625	0.22506039325490754
batch	5	0.08528579026460648	0.0852857306599617	0.2111388336179779	0.2476324789094903	0.21114123227944734	0.24762964129441406	0.7888611663820222	0.7523675210905096	0.7888587677205529	0.7523703587055858	0.23030883534305038	0.21114003270965923	-0.5412289069479698	-0.5412286874725317	-0.5412291264261385	0.024999999999999998	0.024999999999999998	0.22938565626373414	0.2111388336179779	0.2476324789094903	0.21114123227944734	0.24762964129441406	0.7888611663820222	0.7523675210905096	0.7888587677205529	0.7523703587055858	0.23030883534305038	0.21114003270965923	-0.5412289069479698	-0.5412286874725317	-0.5412291264261385	0.024999999999999998	0.024999999999999998	0.22938565626373414
batch	6	0.08758674561977386	0.08758668601512909	0.17165211287939472	0.20666108809201691	0.17165211287939472	0.20666108809201691	0.8283478871206053	0.7933389119079831	0.8283478871206053	0.7933389119079831	0.18984824923881632	0.17165211287939472	-0.6216867990285884	-0.6216867990285884	-0.6216867990285884	0.01875	0.01875	0.18915660048570587	0.17165211287939472	0.20666108809201691	0.17165211287939472	0.20666108809201691	0.8283478871206053	0.7933389119079831	0.8283478871206053	0.7933389119079831	0.18984824923881632	0.17165211287939472	-0.6216867990285884	-0.6216867990285884	-0.6216867990285884	0.01875	0.01875	0.18915660048570587
batch	7	0.06375536322593689	0.06375530362129211	0.21189892964232995	0.23456439300807305	0.21189892964232995	0.23456439300807305	0.7881010703576701	0.765435606991927	0.7881010703576701	0.765435606991927	0.2234312200008654	0.21189892964232995	-0.553536677349597	-0.5535366773495969	-0.5535366773495969	0.040625	0.040625	0.2232316613252015	0.21189892964232995	0.23456439300807305	0.21189892964232995	0.23456439300807305	0.7881010703576701	0.765435606991927	0.7881010703576701	0.765435606991927	0.2234312200008654	0.21189892964232995	-0.553536677349597	-0.5535366773495969	-0.5535366773495969	0.040625	0.040625	0.2232316613252015
batch	8	0.06582437455654144	0.06582431495189667	0.19971347260358696	0.2343200798452593	0.1997141438124346	0.23431925960374358	0.800286527396413	0.7656799201547406	0.8002858561875654	0.7656807403962564	0.21778923484827628	0.19971380818288503	-0.5659665220673556	-0.5659664475511537	-0.5659665965838218	0.021875	0.021875	0.2170167762244231	0.19971347260358696	0.2343200798452593	0.1997141438124346	0.23431925960374358	0.800286527396413	0.7656799201547406	0.8002858561875654	0.7656807403962564	0.21778923484827628	0.19971380818288503	-0.5659665220673556	-0.5659664475511537	-0.5659665965838218	0.021875	0.021875	0.2170167762244231
batch	9	0.06210638955235481	0.06210632622241974	0.21138450544088466	0.24751364798957504	0.2113876221402476	0.2475086031157352	0.7886154945591154	0.7524863520104251	0.7886123778597524	0.7524913968842651	0.23038441193234835	0.21138606199058113	-0.5411028106443999	-0.5411018465695403	-0.5411037747440173	0.0625	0.0625	0.22944907671522985	0.21138450544088466	0.24751364798957504	0.2113876221402476	0.2475086031157352	0.7886154945591154	0.7524863520104251	0.7886123778597524	0.7524913968842651	0.23038441193234835	0.21138606199058113	-0.5411028106443999	-0.5411018465695403	-0.5411037747440173	0.0625	0.0625	0.22944907671522985
batch	10	0.05790722742676735	0.057907164096832275	0.23756865272818006	0.2808978983405957	0.23756865272818006	0.2808978983405957	0.7624313472718197	0.7191021016594044	0.7624313472718197	0.7191021016594044	0.261605022472957	0.23756865272818006	-0.4815334489312242	-0.4815334489312243	-0.4815334489312243	0.056250000000000015	0.056250000000000015	0.2592332755343879	0.23756865272818006	0.2808978983405957	0.23756865272818006	0.2808978983405957	0.7624313472718197	0.7191021016594044	0.7624313472718197	0.7191021016594044	0.261605022472957	0.23756865272818006	-0.4815334489312242	-0.4815334489312243	-0.4815334489312243	0.056250000000000015	0.056250000000000015	0.2592332755343879
