Building model ...
Initializing global variables ... 
Starting training for 32 epochs
Epoch	0	loss	betweenness_cost	closeness_cost	degree_cost	eigenvector_cost	TPR	TNR	PPV	NPV	FNR	FPR	FDR	FOR	ACC	F1	MCC	BM	MK	P@10min	P@10max	AUC	betweenness_TPR	betweenness_TNR	betweenness_PPV	betweenness_NPV	betweenness_FNR	betweenness_FPR	betweenness_FDR	betweenness_FOR	betweenness_ACC	betweenness_F1	betweenness_MCC	betweenness_BM	betweenness_MK	betweenness_P@10min	betweenness_P@10max	betweenness_AUC	closeness_TPR	closeness_TNR	closeness_PPV	closeness_NPV	closeness_FNR	closeness_FPR	closeness_FDR	closeness_FOR	closeness_ACC	closeness_F1	closeness_MCC	closeness_BM	closeness_MK	closeness_P@10min	closeness_P@10max	closeness_AUC	degree_TPR	degree_TNR	degree_PPV	degree_NPV	degree_FNR	degree_FPR	degree_FDR	degree_FOR	degree_ACC	degree_F1	degree_MCC	degree_BM	degree_MK	degree_P@10min	degree_P@10max	degree_AUC	eigenvector_TPR	eigenvector_TNR	eigenvector_PPV	eigenvector_NPV	eigenvector_FNR	eigenvector_FPR	eigenvector_FDR	eigenvector_FOR	eigenvector_ACC	eigenvector_F1	eigenvector_MCC	eigenvector_BM	eigenvector_MK	eigenvector_P@10min	eigenvector_P@10max	eigenvector_AUC
batch	0	2.796250820159912	0.7036887407302856	0.725898802280426	0.6623126268386841	0.7043505311012268	0.7243349642661596	0.2835229284435591	0.41672253597030756	0.20790432386625018	0.27566503573384027	0.7164770715564409	0.3957774640296924	0.15147067613374976	0.518116441982795	0.4899326597275609	0.01723690317058437	0.00785789270971883	-0.37537314016344214	0.24232308803714744	0.0	0.46861503052576226	0.8112449743970723	0.13412727605703317	0.3898997627107894	0.17557812217903587	0.18875502560292756	0.8658727239429669	0.5476002372892105	0.26192187782096416	0.44489234289495705	0.5262025660965394	-0.07100725401920752	-0.05462774954589439	-0.4345221151101746	0.1370466427049469	0.0	0.29716479423589404	1.0	0.0	0.4783673497918262	0.0	0.0	1.0	0.5216326502081737	0.0	0.4783673497918262	0.64706488957048	0.0	0.0	-0.5216326502081737	0.1591310218379491	0.0	0.4496984314965497	0.08609488266756656	0.9999644377172032	0.31192551114426115	0.6560391732859648	0.9139051173324334	3.5562282796814973e-05	0.0005744888557388558	0.3439608267140349	0.6625085550100434	0.1318119735849344	0.139954866701545	0.08605932038476971	-0.03203531556977385	0.528779456492541	0.0	0.750524171064252	1.0	0.0	0.48669752023435353	0.0	0.0	1.0	0.5133024797656465	0.0	0.48669752023435353	0.6546512096582899	0.0	0.0	-0.5133024797656464	0.14433523111315283	0.0	0.37707272530635333
batch	1	2.795175790786743	0.7011266350746155	0.7240087985992432	0.6646697521209717	0.7053706049919128	0.7145748181295661	0.2960014065784919	0.3991508316856853	0.2123812892386096	0.28542518187043386	0.7039985934215081	0.4055366683143147	0.1391812107613904	0.5211058910005714	0.4862382421359515	0.017878362678734383	0.010576224708058034	-0.3884678790757051	0.2150692074580647	0.0078125	0.4868735866396349	0.757715780889569	0.18430986831674928	0.3785851500628585	0.1930345770952101	0.2422842191104309	0.8156901316832508	0.5589148499371416	0.2132154229047899	0.45806089283118523	0.5042114387569169	-0.06674942654782218	-0.057974350793681614	-0.42838027284193153	0.10000693630725474	0.0	0.3275755643010329	1.0	0.0	0.47643218991139286	0.0	0.0	1.0	0.5235678100886071	0.0	0.47643218991139286	0.6452497630186931	0.0	0.0	-0.5235678100886071	0.15482446328989077	0.0	0.5176964307860429	0.1005834916286954	0.9996957579972183	0.25390625	0.6564905798592283	0.8994165083713046	0.00030424200278164116	0.02734375	0.3435094201407717	0.6622507444912176	0.1399476513319957	0.1382628772627597	0.10027924962591375	-0.08960317014077172	0.46404374798084097	0.03125	0.7355616989324355	1.0	0.0	0.4876797367684899	0.0	0.0	1.0	0.5123202632315101	0.0	0.4876797367684899	0.6555441154362003	0.0	0.0	-0.5123202632315101	0.1414016822542724	0.0	0.3666606525390283
batch	2	2.787990093231201	0.6999810934066772	0.7226604223251343	0.6616858243942261	0.7036623954772949	0.6771414597169214	0.3210278384430893	0.39573859426303626	0.22693602106688715	0.32285854028307853	0.6789721615569106	0.39332390573696374	0.1715014789331128	0.5150450131898758	0.4610581737156094	0.009162335080245568	-0.0018307018399892627	-0.3773253846700766	0.2258666532917811	0.0078125	0.5162439300678368	0.6322963098218771	0.2841477756837791	0.3304762368199776	0.26155410900464887	0.3677036901781228	0.7158522243162209	0.5132737631800224	0.3321958909953512	0.45294785749478994	0.4320454868754861	-0.09077160793231287	-0.08355591449434377	-0.40796965417537345	0.10343303026148827	0.0	0.37525045743077384	1.0	0.0	0.47143999404761217	0.0	0.0	1.0	0.5285600059523878	0.0	0.47143999404761217	0.6406378250260354	0.0	0.0	-0.5285600059523878	0.16796269349852125	0.0	0.5754797159508689	0.07626952904580864	0.999963578088578	0.296875	0.6461899752628998	0.9237304709541914	3.642191142191142e-05	0.015625	0.35381002473710005	0.6516290550325459	0.11926136287860417	0.12742094825329514	0.07623310713438672	-0.05693502473710012	0.4821211928544128	0.03125	0.7360470778532606	1.0	0.0	0.4841631461845552	0.0	0.0	1.0	0.5158368538154449	0.0	0.4841631461845552	0.6522880200823121	0.0	0.0	-0.5158368538154449	0.14994969655270207	0.0	0.37819846903644383
batch	3	2.792335033416748	0.7001992464065552	0.7224020957946777	0.6644899249076843	0.7052439451217651	0.7085494793599657	0.2876218977296123	0.3960980221126942	0.20440060693941106	0.2914505206400343	0.7123781022703878	0.4007769778873058	0.1471618930605889	0.5190722604478539	0.4797298846053955	0.0035037382852939475	-0.003828622910422035	-0.39950137094789473	0.24261825139712784	0.0	0.47107339800117454	0.7732115215464873	0.15048759091844904	0.4033449558149621	0.16593456539274443	0.2267884784535127	0.849512409081551	0.5654050441850378	0.24031543460725557	0.4577456920735282	0.5266462288551422	-0.08478257235531286	-0.07630088753506375	-0.43072047879229325	0.12212307938623174	0.0	0.32017418331320924	1.0	0.0	0.4756523661371913	0.0	0.0	1.0	0.5243476338628087	0.0	0.4756523661371913	0.6445174311105085	0.0	0.0	-0.5243476338628087	0.19642773239480876	0.0	0.4994639549889193	0.06098639589337562	1.0	0.21875	0.6516678623648998	0.9390136041066244	0.0	0.0	0.3483321376351001	0.6562462170820731	0.09316054882654673	0.09879752549648865	0.060986395893375615	-0.1295821376351002	0.4757863515904735	0.0	0.7084816174240371	1.0	0.0	0.4866447664986232	0.0	0.0	1.0	0.5133552335013768	0.0	0.4866447664986232	0.6545953296293845	0.0	0.0	-0.5133552335013768	0.17613584221699738	0.0	0.3561738362785325
batch	4	2.7810378074645996	0.6995646953582764	0.7207086086273193	0.658071756362915	0.7026928663253784	0.6774860323977792	0.3183854647357172	0.3987630666637031	0.2250310747690321	0.32251396760222095	0.6816145352642828	0.4059244333362969	0.1577814252309679	0.5224448383030088	0.46224667959593524	0.006812506581018033	-0.00412850286650372	-0.3762058585672648	0.22541905311071833	0.0	0.49379894113226375	0.6547456217624947	0.2716773372466163	0.3499267906785831	0.23358996116759045	0.3452543782375055	0.7283226627533836	0.587573209321417	0.26641003883240955	0.46588001252914196	0.45197671125639094	-0.07974482067127514	-0.07357704099088913	-0.4164832481538264	0.105504365908989	0.0	0.35279273874624306	1.0	0.0	0.4771801153345638	0.0	0.0	1.0	0.5228198846654362	0.0	0.4771801153345638	0.6459752214093927	0.0	0.0	-0.5228198846654362	0.16053010469428766	0.0	0.514389700722206	0.05907894560395218	1.0	0.28125	0.6556216394958396	0.9409210543960479	0.0	0.0	0.3443783605041604	0.6603211791208918	0.09720754558327586	0.11050910680019856	0.05907894560395218	-0.06312836050416047	0.48236290832279305	0.0	0.7453165504676816	0.9961195622246696	0.0018645216962524655	0.4866953606416656	0.010912698412698412	0.0038804377753303963	0.9981354783037475	0.5133046393583345	0.020337301587301588	0.4863980462274378	0.6538272401346813	-0.0035142598048512838	-0.0020159160790779312	-0.5023919409456361	0.1532788335168036	0.0	0.36269677459292404
batch	5	2.784688949584961	0.6991150379180908	0.7190845012664795	0.6631764769554138	0.7033129334449768	0.684356668938251	0.31510551180443797	0.38831536250229753	0.21606826864330522	0.315643331061749	0.6848944881955621	0.38512213749770247	0.13549423135669472	0.5244257146422177	0.46324995334672436	0.008736565474660327	-0.0005378192573110945	-0.3956163688543972	0.2238627431458134	0.0	0.49282910440313366	0.6984288614439713	0.2539332598423364	0.36689164507553107	0.19624519834006252	0.3015711385560287	0.7460667401576636	0.5081083549244689	0.17875480165993748	0.47730779190250255	0.47761838602060697	-0.050502974884200955	-0.04763787871369227	-0.4368631565844064	0.0998487594161682	0.0	0.36590179652020294	1.0	0.0	0.47889266785806084	0.0	0.0	1.0	0.5211073321419392	0.0	0.47889266785806084	0.6475169513230471	0.0	0.0	-0.5211073321419392	0.14977793235869408	0.0	0.5334517199603824	0.04371428692654015	1.0	0.21875	0.6479958249511071	0.9562857130734599	0.0	0.0	0.35200417504889275	0.6516958034652127	0.07238395152736268	0.08317661086226838	0.043714286926540155	-0.13325417504889275	0.50099168243146	0.0	0.7255260746782228	0.9952835273824925	0.006488787375415282	0.4887271370755982	0.020032051282051284	0.004716472617507546	0.9935112126245846	0.5112728629244019	0.011217948717948718	0.4898065953430944	0.6554805245158805	0.002272625920573884	0.0017723147579077336	-0.4912408116423505	0.14483259837693127	0.0	0.3464368264537266
batch	6	2.790287971496582	0.6975517868995667	0.7186887860298157	0.6700059175491333	0.7040414810180664	0.6483439222801018	0.34959722190806214	0.35309947797685065	0.21907001935683518	0.3516560777198981	0.6504027780919379	0.3578380220231494	0.16374248064316482	0.5161918452531624	0.432640411478613	0.003931054107423388	-0.002058855811835982	-0.42783050266631417	0.20041257597314174	0.0	0.5334023856058504	0.564916854657012	0.3983888876322486	0.2950339534552822	0.2611022868810986	0.4350831453429878	0.6016111123677514	0.3924660465447178	0.2701477131189014	0.4863297390423059	0.38515180138699845	-0.040956024595062486	-0.03669425771073925	-0.4438637596636193	0.11446809488187037	0.0	0.4052943901461031	1.0	0.0	0.4722286936648309	0.0	0.0	1.0	0.5277713063351692	0.0	0.4722286936648309	0.6414157483038688	0.0	0.0	-0.527771306335169	0.16093573950674966	0.0	0.6812280930644398	0.02845883446339533	1.0	0.15625	0.6151777905462421	0.9715411655366046	0.0	0.0	0.3848222094537579	0.6173236835182236	0.04734280510705014	0.05668024102475604	0.028458834463395324	-0.22857220945375795	0.37536224990537137	0.0	0.7187817867276758	1.0	0.0	0.4888852647872894	0.0	0.0	1.0	0.5111147352127106	0.0	0.4888852647872894	0.6566512911165344	0.0	0.0	-0.5111147352127106	0.1508842195985756	0.0	0.32830527248518276
batch	7	2.8060219287872314	0.6979595422744751	0.7182026505470276	0.6815700531005859	0.7082895636558533	0.6938654994885691	0.3048919200381951	0.33845164197823463	0.18712375560344052	0.30613450051143093	0.6951080799618049	0.35686085802176537	0.18787624439655945	0.5182376783704719	0.4549289486078834	-0.004767247399141026	-0.0012425804732358455	-0.47442460241832485	0.18592998714686695	0.0	0.47414779625691106	0.7754619979542763	0.21956768015278028	0.3827901876672858	0.13867915566385397	0.2245380020457237	0.7804323198472197	0.3984598123327142	0.361320844336146	0.4921184664863264	0.5125551816731345	-0.019068989596564105	-0.004970321892943382	-0.4785306566688604	0.13939304789500945	0.0	0.40373036627613396	1.0	0.0	0.4784573498038517	0.0	0.0	1.0	0.5215426501961483	0.0	0.4784573498038517	0.6471478190499195	0.0	0.0	-0.5215426501961483	0.15948585896571546	0.0	0.6191632476120134	0.0	1.0	0.0	0.6098158667499082	1.0	0.0	0.0	0.3901841332500918	0.6098158667499082	0.0	0.0	0.0	-0.39018413325009177	0.2965174363979163	0.0	0.6264366414814617	1.0	0.0	0.49255903044180105	0.0	0.0	1.0	0.507440969558199	0.0	0.49255903044180105	0.6600127937084797	0.0	0.0	-0.507440969558199	0.1483236053288266	0.0	0.24726092965803534
batch	8	2.7805371284484863	0.6981877088546753	0.7159179449081421	0.6645985245704651	0.7018330097198486	0.6566101750204633	0.33960323884267024	0.3690426258475219	0.23776473222531974	0.34338982497953674	0.6603967611573298	0.3731448741524781	0.18411026777468031	0.5193462558748992	0.4413012932343181	0.003716610417248065	-0.003786586136866516	-0.39319264192715836	0.20749299894476952	0.0	0.5216914501334686	0.6086764221012222	0.34053373996729003	0.3212286381665805	0.23515775831735636	0.3913235778987778	0.6594662600327101	0.46002136183341946	0.32734224168264364	0.4766576450576223	0.4178342442036903	-0.05813063983687411	-0.05078983793148781	-0.4436136035160632	0.106805783775877	0.0	0.37166894879007734	0.9979153041203401	0.008928953753925207	0.4777725840283817	0.04956896551724138	0.0020846958796599084	0.9910710462460748	0.5222274159716183	0.01293103448275862	0.4798662046671749	0.6460733757697233	0.010814429271527306	0.0068442578742652985	-0.4726584504543769	0.16271857650232352	0.0	0.62942387862417	0.02622698646269643	1.0	0.1875	0.6275054270494399	0.9737730135373035	0.0	0.0	0.37249457295056027	0.6298320157748428	0.045300533112672174	0.058526572223995474	0.02622698646269643	-0.18499457295056018	0.4105751643990395	0.0	0.7459619237903419	0.9936219873975943	0.008950261649465729	0.4896692811951255	0.03882677801724138	0.006378012602405713	0.9910497383505343	0.5103307188048746	0.02367322198275862	0.49102915799995694	0.6559970198511865	0.0036560800103435875	0.0025722490470600143	-0.47150394078763314	0.14987247110183796	0.0	0.33971104932928536
batch	9	2.7733073234558105	0.6980559825897217	0.7140640020370483	0.6610944271087646	0.7000927329063416	0.6497561421708343	0.3445005461988352	0.38339587949004644	0.24232039408221326	0.3502438578291656	0.6554994538011647	0.3666041205099535	0.20299210591778677	0.5191017794594652	0.43516738799939014	0.0011355934795868922	-0.005743311630330431	-0.3742837264277402	0.20750978274022652	0.0078125	0.5373843362053896	0.5905199598829661	0.3610744456163198	0.31720394185625506	0.2676096041281049	0.40948004011703387	0.6389255543836801	0.4327960581437449	0.41989039587189514	0.47982759478924897	0.4087927151672771	-0.06203199650111151	-0.04840559450071402	-0.41518645401563986	0.10456610126162694	0.0	0.4209310971142292	0.9975831071913162	0.009377965044839984	0.47756485606730215	0.05651595744680851	0.0024168928086838533	0.99062203495516	0.5224351439326979	0.005984042553191489	0.47985013064279836	0.645821694394464	0.012030981983917291	0.006961072236156128	-0.46591918648588937	0.15950016178395096	0.0	0.6424998501197263	0.016554548819355565	1.0	0.25	0.6250288961098718	0.9834454511806444	0.0	0.0	0.3749711038901282	0.6265715627941069	0.03068726553874987	0.0522385497597872	0.016554548819355572	-0.12497110389012815	0.4206615205487705	0.03125	0.7526038242120926	0.9943669527896996	0.007549774134181027	0.4888147200366286	0.020127118644067795	0.005633047210300429	0.992450225865819	0.5111852799633714	0.011122881355932203	0.4901578296117068	0.6553678768970698	0.002304838675754589	0.0019167269238805976	-0.4910581613193035	0.14531134736655768	0.0	0.3335025733755102
