Building model ...
Initializing global variables ... 
Starting training for 32 epochs
Epoch	0	loss	betweenness_cost	closeness_cost	degree_cost	eigenvector_cost	TPR	TNR	PPV	NPV	FNR	FPR	FDR	FOR	ACC	F1	MCC	BM	MK	P@10min	P@10max	AUC	betweenness_TPR	betweenness_TNR	betweenness_PPV	betweenness_NPV	betweenness_FNR	betweenness_FPR	betweenness_FDR	betweenness_FOR	betweenness_ACC	betweenness_F1	betweenness_MCC	betweenness_BM	betweenness_MK	betweenness_P@10min	betweenness_P@10max	betweenness_AUC	closeness_TPR	closeness_TNR	closeness_PPV	closeness_NPV	closeness_FNR	closeness_FPR	closeness_FDR	closeness_FOR	closeness_ACC	closeness_F1	closeness_MCC	closeness_BM	closeness_MK	closeness_P@10min	closeness_P@10max	closeness_AUC	degree_TPR	degree_TNR	degree_PPV	degree_NPV	degree_FNR	degree_FPR	degree_FDR	degree_FOR	degree_ACC	degree_F1	degree_MCC	degree_BM	degree_MK	degree_P@10min	degree_P@10max	degree_AUC	eigenvector_TPR	eigenvector_TNR	eigenvector_PPV	eigenvector_NPV	eigenvector_FNR	eigenvector_FPR	eigenvector_FDR	eigenvector_FOR	eigenvector_ACC	eigenvector_F1	eigenvector_MCC	eigenvector_BM	eigenvector_MK	eigenvector_P@10min	eigenvector_P@10max	eigenvector_AUC
batch	0	0.2056802213191986	0.02091240882873535	0.14640571177005768	0.02338440716266632	0.014977694489061832	0.0	1.0	0.0	0.5542826400351158	1.0	0.0	0.0	0.44571735996488415	0.5542826400351158	0.0	0.0	0.0	-0.44571735996488415	0.23024503203985897	0.0	0.5	0.0	1.0	0.0	0.5513061453476349	1.0	0.0	0.0	0.44869385465236505	0.5513061453476349	0.0	0.0	0.0	-0.44869385465236505	0.26690820665272597	0.0	0.5	0.0	1.0	0.0	0.5257104199180307	1.0	0.0	0.0	0.4742895800819694	0.5257104199180307	0.0	0.0	0.0	-0.47428958008196936	0.162423358977788	0.0	0.5	0.0	1.0	0.0	0.6272673614723241	1.0	0.0	0.0	0.37273263852767585	0.6272673614723241	0.0	0.0	0.0	-0.37273263852767585	0.3418330663757529	0.0	0.5	0.0	1.0	0.0	0.5128466334024737	1.0	0.0	0.0	0.4871533665975264	0.5128466334024737	0.0	0.0	0.0	-0.48715336659752634	0.14981549615316897	0.0	0.5
batch	1	0.1932721734046936	0.019515641033649445	0.13955143094062805	0.0198720321059227	0.014333076775074005	0.0	1.0	0.0	0.5544294560275591	1.0	0.0	0.0	0.4455705439724409	0.5544294560275591	0.0	0.0	0.0	-0.44557054397244095	0.2247716512782832	0.0	0.5	0.0	1.0	0.0	0.5459647024707079	1.0	0.0	0.0	0.45403529752929206	0.5459647024707079	0.0	0.0	0.0	-0.45403529752929206	0.2547341437803887	0.0	0.5	0.0	1.0	0.0	0.5268195924224257	1.0	0.0	0.0	0.4731804075775743	0.5268195924224257	0.0	0.0	0.0	-0.4731804075775743	0.1468021800186623	0.0	0.5	0.0	1.0	0.0	0.6310200830318814	1.0	0.0	0.0	0.3689799169681186	0.6310200830318814	0.0	0.0	0.0	-0.36897991696811855	0.35414455611733464	0.0	0.5	0.0	1.0	0.0	0.5139134461852213	1.0	0.0	0.0	0.4860865538147788	0.5139134461852213	0.0	0.0	0.0	-0.4860865538147789	0.14340572519674707	0.0	0.5
batch	2	0.21194717288017273	0.019440460950136185	0.15542997419834137	0.022427676245570183	0.014649055898189545	0.0	1.0	0.0	0.5527916357816801	1.0	0.0	0.0	0.44720836421831983	0.5527916357816801	0.0	0.0	0.0	-0.44720836421831983	0.2284099182105725	0.0	0.5	0.0	1.0	0.0	0.5470515924649535	1.0	0.0	0.0	0.4529484075350464	0.5470515924649535	0.0	0.0	0.0	-0.4529484075350464	0.25009545283638246	0.0	0.5	0.0	1.0	0.0	0.5284901364222865	1.0	0.0	0.0	0.4715098635777135	0.5284901364222865	0.0	0.0	0.0	-0.4715098635777135	0.17382216527789837	0.0	0.5	0.0	1.0	0.0	0.6208171462850474	1.0	0.0	0.0	0.37918285371495253	0.6208171462850474	0.0	0.0	0.0	-0.37918285371495253	0.3431185739233651	0.0	0.5	0.0	1.0	0.0	0.5148076679544331	1.0	0.0	0.0	0.4851923320455669	0.5148076679544331	0.0	0.0	0.0	-0.4851923320455669	0.14660348080464405	0.0	0.5
batch	3	0.1858946681022644	0.01663113199174404	0.13532349467277527	0.018635455518960953	0.015304594300687313	0.0	1.0	0.0	0.5511054568246874	1.0	0.0	0.0	0.44889454317531274	0.5511054568246874	0.0	0.0	0.0	-0.44889454317531274	0.2208292059464407	0.0	0.5	0.0	1.0	0.0	0.5363874865033229	1.0	0.0	0.0	0.46361251349667715	0.5363874865033229	0.0	0.0	0.0	-0.46361251349667715	0.22751857004800077	0.0	0.5	0.0	1.0	0.0	0.5238414035060136	1.0	0.0	0.0	0.4761585964939864	0.5238414035060136	0.0	0.0	0.0	-0.4761585964939864	0.16042628174327547	0.0	0.5	0.0	1.0	0.0	0.6319553895662321	1.0	0.0	0.0	0.368044610433768	0.6319553895662321	0.0	0.0	0.0	-0.368044610433768	0.3421662083569793	0.0	0.5	0.0	1.0	0.0	0.5122375477231806	1.0	0.0	0.0	0.4877624522768193	0.5122375477231806	0.0	0.0	0.0	-0.4877624522768193	0.15320576363750726	0.0	0.5
batch	4	0.2052145004272461	0.014222552068531513	0.15173009037971497	0.023249028250575066	0.01601283997297287	0.0	1.0	0.0	0.5495719672827205	1.0	0.0	0.0	0.4504280327172795	0.5495719672827205	0.0	0.0	0.0	-0.4504280327172795	0.21962788536647837	0.0	0.5	0.0	1.0	0.0	0.5328911920832204	1.0	0.0	0.0	0.46710880791677956	0.5328911920832204	0.0	0.0	0.0	-0.46710880791677956	0.2315735233479666	0.0	0.5	0.0	1.0	0.0	0.5255090922784572	1.0	0.0	0.0	0.47449090772154273	0.5255090922784572	0.0	0.0	0.0	-0.47449090772154273	0.16974822098904185	0.0	0.5	0.0	1.0	0.0	0.6279772875404784	1.0	0.0	0.0	0.3720227124595215	0.6279772875404784	0.0	0.0	0.0	-0.3720227124595214	0.3164502525200228	0.0	0.5	0.0	1.0	0.0	0.5119102972287258	1.0	0.0	0.0	0.48808970277127417	0.5119102972287258	0.0	0.0	0.0	-0.48808970277127417	0.16073954460888215	0.0	0.5
batch	5	0.1813184767961502	0.01649325154721737	0.13082446157932281	0.018344003707170486	0.015656765550374985	0.0	1.0	0.0	0.5576334670519913	1.0	0.0	0.0	0.44236653294800876	0.5576334670519913	0.0	0.0	0.0	-0.44236653294800876	0.23321813978594425	0.0	0.5	0.0	1.0	0.0	0.5470039660368655	1.0	0.0	0.0	0.4529960339631345	0.5470039660368655	0.0	0.0	0.0	-0.45299603396313454	0.2568209700560285	0.0	0.5	0.0	1.0	0.0	0.528061741443663	1.0	0.0	0.0	0.47193825855633703	0.528061741443663	0.0	0.0	0.0	-0.47193825855633703	0.16831360328687459	0.0	0.5	0.0	1.0	0.0	0.6384219015621101	1.0	0.0	0.0	0.3615780984378902	0.6384219015621101	0.0	0.0	0.0	-0.3615780984378901	0.35092652925490053	0.0	0.5	0.0	1.0	0.0	0.5170462591653265	1.0	0.0	0.0	0.48295374083467346	0.5170462591653265	0.0	0.0	0.0	-0.48295374083467346	0.15681145654597345	0.0	0.5
batch	6	0.19349107146263123	0.018930021673440933	0.14103132486343384	0.017671892419457436	0.01585782691836357	0.0	1.0	0.0	0.5544584006951968	1.0	0.0	0.0	0.4455415993048033	0.5544584006951968	0.0	0.0	0.0	-0.44554159930480325	0.24459106211113907	0.0	0.5	0.0	1.0	0.0	0.5501116647073391	1.0	0.0	0.0	0.44988833529266103	0.5501116647073391	0.0	0.0	0.0	-0.4498883352926609	0.2685999479023308	0.0	0.5	0.0	1.0	0.0	0.524414138043185	1.0	0.0	0.0	0.47558586195681496	0.524414138043185	0.0	0.0	0.0	-0.47558586195681496	0.1751288307736443	0.0	0.5	0.0	1.0	0.0	0.6290429723639418	1.0	0.0	0.0	0.37095702763605826	0.6290429723639418	0.0	0.0	0.0	-0.37095702763605826	0.37578184459031866	0.0	0.5	0.0	1.0	0.0	0.514264827666321	1.0	0.0	0.0	0.48573517233367897	0.514264827666321	0.0	0.0	0.0	-0.48573517233367897	0.15885362517826243	0.0	0.5
batch	7	0.12136653810739517	0.02447367087006569	0.07678387314081192	0.004760292358696461	0.01534869521856308	0.0	1.0	0.0	0.5699501995700095	1.0	0.0	0.0	0.4300498004299905	0.5699501995700095	0.0	0.0	0.0	-0.4300498004299905	0.2601586212878619	0.0	0.5	0.0	1.0	0.0	0.5664037713900151	1.0	0.0	0.0	0.4335962286099849	0.5664037713900151	0.0	0.0	0.0	-0.4335962286099849	0.29764236062213895	0.0	0.5	0.0	1.0	0.0	0.5264995243051105	1.0	0.0	0.0	0.47350047569488957	0.5264995243051105	0.0	0.0	0.0	-0.4735004756948895	0.17564155458233172	0.0	0.5	0.0	1.0	0.0	0.6662158852998535	1.0	0.0	0.0	0.3337841147001464	0.6662158852998535	0.0	0.0	0.0	-0.3337841147001464	0.41357300419706744	0.0	0.5	0.0	1.0	0.0	0.5206816172850588	1.0	0.0	0.0	0.4793183827149411	0.5206816172850588	0.0	0.0	0.0	-0.4793183827149411	0.1537775657499094	0.0	0.5
batch	8	0.1986091136932373	0.01552356593310833	0.14556293189525604	0.019822340458631516	0.017700275406241417	0.0	1.0	0.0	0.5546608842192945	1.0	0.0	0.0	0.4453391157807054	0.5546608842192945	0.0	0.0	0.0	-0.44533911578070545	0.2491903317171336	0.0	0.5	0.0	1.0	0.0	0.5425130242639145	1.0	0.0	0.0	0.45748697573608565	0.5425130242639145	0.0	0.0	0.0	-0.45748697573608565	0.25660405829216926	0.0	0.5	0.0	1.0	0.0	0.5270006302854149	1.0	0.0	0.0	0.47299936971458506	0.5270006302854149	0.0	0.0	0.0	-0.47299936971458506	0.18790629426725983	0.0	0.5	0.0	1.0	0.0	0.634035597647069	1.0	0.0	0.0	0.3659644023529308	0.634035597647069	0.0	0.0	0.0	-0.36596440235293093	0.374859380035631	0.0	0.5	0.0	1.0	0.0	0.5150942846807798	1.0	0.0	0.0	0.4849057153192202	0.5150942846807798	0.0	0.0	0.0	-0.4849057153192202	0.17739159427347428	0.0	0.5
batch	9	0.193882554769516	0.016626538708806038	0.1435222327709198	0.019348982721567154	0.014384803362190723	0.0	1.0	0.0	0.5502058326175958	1.0	0.0	0.0	0.4497941673824042	0.5502058326175958	0.0	0.0	0.0	-0.4497941673824042	0.2167354984116725	0.0	0.5	0.0	1.0	0.0	0.5356548697686865	1.0	0.0	0.0	0.4643451302313135	0.5356548697686865	0.0	0.0	0.0	-0.4643451302313135	0.21849463376826006	0.0	0.5	0.0	1.0	0.0	0.5250656099412815	1.0	0.0	0.0	0.4749343900587183	0.5250656099412815	0.0	0.0	0.0	-0.4749343900587183	0.15486105395813202	0.0	0.5	0.0	1.0	0.0	0.6261720325500745	1.0	0.0	0.0	0.3738279674499256	0.6261720325500745	0.0	0.0	0.0	-0.3738279674499256	0.349356402970493	0.0	0.5	0.0	1.0	0.0	0.5139308182103406	1.0	0.0	0.0	0.4860691817896594	0.5139308182103406	0.0	0.0	0.0	-0.4860691817896594	0.14422990294980503	0.0	0.5
