Building model ...
Initializing global variables ... 
Starting training for 32 epochs
Epoch	0	loss	closeness_cost	ABS	REL	closeness_ABS	closeness_REL
batch	0	0.015721436589956284	0.01572137326002121	0.10738870677075729	0.6546883780717461	0.10738870677075729	0.6546883780717461
batch	1	0.015884200111031532	0.01588413678109646	0.10722382720467422	0.7841190867091306	0.10722382720467422	0.7841190867091306
batch	2	0.013782024383544922	0.013781961053609848	0.10142557134194016	0.6233979763760212	0.10142557134194016	0.6233979763760212
batch	3	0.010249887593090534	0.01024982426315546	0.0846286144719531	0.5104565152139499	0.0846286144719531	0.5104565152139499
batch	4	0.009501837193965912	0.009501773864030838	0.08090967065235127	0.5167274634956224	0.08090967065235127	0.5167274634956224
batch	5	0.008356116712093353	0.00835605338215828	0.07460363573692533	0.46112735379281555	0.07460363573692533	0.46112735379281555
batch	6	0.008165359497070312	0.008165296167135239	0.07261278384650525	0.4731405322556575	0.07261278384650525	0.4731405322556575
batch	7	0.007515705190598965	0.007515641860663891	0.06702281818144618	0.5106983905835445	0.06702281818144618	0.5106983905835445
batch	8	0.006060809828341007	0.006060746498405933	0.0625121986864451	0.34187766056523566	0.0625121986864451	0.34187766056523566
batch	9	0.005881200078874826	0.005881136748939753	0.06265308872504367	0.34230061646577387	0.06265308872504367	0.34230061646577387
batch	10	0.0064649819396436214	0.006464918609708548	0.06360407732560851	0.4951432057340722	0.06360407732560851	0.4951432057340722
batch	11	0.005168403498828411	0.005168340168893337	0.058800818380338266	0.32596895180566726	0.058800818380338266	0.32596895180566726
batch	12	0.004182977601885796	0.004182914271950722	0.051746544173808307	0.29609026917092146	0.051746544173808307	0.29609026917092146
batch	13	0.004093820229172707	0.004093756899237633	0.05140710356862822	0.2800928872430405	0.05140710356862822	0.2800928872430405
batch	14	0.004141773097217083	0.004141709767282009	0.05067956377648944	0.3432348975863347	0.05067956377648944	0.3432348975863347
batch	15	0.0047892797738313675	0.004789216443896294	0.05493270598712896	0.42999082974897235	0.05493270598712896	0.42999082974897235
batch	16	0.003730195574462414	0.00373013224452734	0.049893165369825215	0.22823027192791923	0.049893165369825215	0.22823027192791923
batch	17	0.0034502968192100525	0.0034502334892749786	0.04700218498319665	0.3025978356634708	0.04700218498319665	0.3025978356634708
batch	18	0.0033618034794926643	0.0033617401495575905	0.04666545660040778	0.2428099607730507	0.04666545660040778	0.2428099607730507
batch	19	0.002557679545134306	0.002557616215199232	0.038101324058548464	0.20768293500554227	0.038101324058548464	0.20768293500554227
batch	20	0.0031911551486700773	0.0031910918187350035	0.042561296626494716	0.37090567841670996	0.042561296626494716	0.37090567841670996
batch	21	0.0035745170898735523	0.0035744537599384785	0.047910749898238944	0.3548591693669449	0.047910749898238944	0.3548591693669449
batch	22	0.0029306206852197647	0.002930557355284691	0.03851065553329754	0.267307847305718	0.03851065553329754	0.267307847305718
batch	23	0.002300604246556759	0.002300540916621685	0.03598585426635422	0.2048300804706553	0.03598585426635422	0.2048300804706553
batch	24	0.0025007526855915785	0.0025006893556565046	0.037924170042730056	0.21007693696876398	0.037924170042730056	0.21007693696876398
batch	25	0.0025330756325274706	0.0025330123025923967	0.03757904497803813	0.2985691855593064	0.03757904497803813	0.2985691855593064
batch	26	0.0025372845120728016	0.0025372211821377277	0.03901485613744517	0.25774466546726144	0.03901485613744517	0.25774466546726144
batch	27	0.0022106757387518883	0.0022106124088168144	0.03523562815569011	0.20027784512361707	0.03523562815569011	0.20027784512361707
batch	28	0.002004376845434308	0.002004313515499234	0.03317970992129539	0.1467035046656132	0.03317970992129539	0.1467035046656132
batch	29	0.002643597312271595	0.002643533982336521	0.03872897514119783	0.3147505704923576	0.03872897514119783	0.3147505704923576
batch	30	0.00176043133251369	0.0017603680025786161	0.030768047851108062	0.19091531651373514	0.030768047851108062	0.19091531651373514
batch	31	0.0019542959053069353	0.0019542325753718615	0.031783077961539966	0.17537228674832622	0.031783077961539966	0.17537228674832622
batch	test	0.007165309973061085	0.007165246643126011	0.07120516665479941	1.1465858420488442	0.07120516665479941	1.1465858420488442
batch	test	0.005441248882561922	0.005441185552626848	0.06088331761247824	0.7394435993621211	0.06088331761247824	0.7394435993621211
batch	test	0.005142993293702602	0.0051429299637675285	0.059255955371042675	0.6058371603592544	0.059255955371042675	0.6058371603592544
batch	test	0.006662747822701931	0.006662684492766857	0.06839370148480203	1.2372378893413862	0.06839370148480203	1.2372378893413862
batch	test	0.005260427016764879	0.005260363686829805	0.05827290948766229	0.9690622233588396	0.05827290948766229	0.9690622233588396
batch	test	0.005624524317681789	0.0056244609877467155	0.06168283730516462	1.2052763268126863	0.06168283730516462	1.2052763268126863
batch	test	0.0057885730639100075	0.005788509733974934	0.06251012306467509	1.0130080541853799	0.06251012306467509	1.0130080541853799
batch	test	0.0063950298354029655	0.006394966505467892	0.06604524693023642	1.4118061359871592	0.06604524693023642	1.4118061359871592
EPOCH	summary	0.00541253674600739	0.0054124734160723165	0.05571862269860787	0.35508403454023424	0.05571862269860787	0.35508403454023424	0.005935106775723398	0.005935043445788324	0.06353115723885759	1.041032153931959	0.06353115723885759	1.041032153931959
SAVING MODEL WEIGHTS TO centrality-closeness
Epoch	1	loss	closeness_cost	ABS	REL	closeness_ABS	closeness_REL
batch	0	0.0023460835218429565	0.0023460201919078827	0.035361881863981634	0.2110871826118965	0.035361881863981634	0.2110871826118965
batch	1	0.002027127891778946	0.002027064561843872	0.03424483206033453	0.24692112628959081	0.03424483206033453	0.24692112628959081
