Building model ...
Initializing global variables ... 
Starting training for 32 epochs
Epoch	0	loss	eigenvector_cost	ABS	REL	eigenvector_ABS	eigenvector_REL
batch	0	0.05115720257163048	0.051157139241695404	0.2095434720006885	793457904960.6354	0.2095434720006885	793457904960.6354
batch	1	0.04130948707461357	0.0413094237446785	0.185573644752619	3130457749280.995	0.185573644752619	3130457749280.995
batch	2	0.04033679887652397	0.0403367355465889	0.17953002370647617	37689159655.90276	0.17953002370647617	37689159655.90276
batch	3	0.02813645452260971	0.028136391192674637	0.1475243584280125	1204216483.6041806	0.1475243584280125	1204216483.6041806
batch	4	0.023982085287570953	0.02398202195763588	0.1339621984458372	1919733067.9082677	0.1339621984458372	1919733067.9082677
batch	5	0.019133582711219788	0.019133519381284714	0.11905103955479239	659119422.6753381	0.11905103955479239	659119422.6753381
batch	6	0.017635449767112732	0.017635386437177658	0.10746229904373017	20083521881312.277	0.10746229904373017	20083521881312.277
batch	7	0.012820884585380554	0.01282082125544548	0.08825350779313423	844972343418.6808	0.08825350779313423	844972343418.6808
batch	8	0.010535560548305511	0.010535497218370438	0.07861731939611191	14690498933.401842	0.07861731939611191	14690498933.401842
batch	9	0.009588975459337234	0.00958891212940216	0.07704756028455621	449062632.775111	0.07704756028455621	449062632.775111
batch	10	0.009833895601332188	0.009833832271397114	0.07443880618001356	163215880937.37192	0.07443880618001356	163215880937.37192
batch	11	0.007461312226951122	0.007461248897016048	0.06566789825500344	1560078455718.1904	0.06566789825500344	1560078455718.1904
batch	12	0.005767964757978916	0.005767901428043842	0.05909014724660443	20407509605.723354	0.05909014724660443	20407509605.723354
batch	13	0.005297067109495401	0.0052970037795603275	0.050980046954548136	37842676.79077382	0.050980046954548136	37842676.79077382
batch	14	0.007186847273260355	0.007186783943325281	0.05648808582047924	17261730519.456215	0.05648808582047924	17261730519.456215
batch	15	0.006905768997967243	0.006905705668032169	0.05785832467130135	443278004180.3981	0.05785832467130135	443278004180.3981
batch	16	0.005065863952040672	0.0050658006221055984	0.04743947215160425	5938484839401.632	0.04743947215160425	5938484839401.632
batch	17	0.005179867148399353	0.005179803818464279	0.047167844471952686	668919465.6538442	0.047167844471952686	668919465.6538442
batch	18	0.004965387750416994	0.00496532442048192	0.04745194264231619	52957603410.645515	0.04745194264231619	52957603410.645515
batch	19	0.0036566038616001606	0.0036565405316650867	0.03949154932680965	9318183282.534739	0.03949154932680965	9318183282.534739
batch	20	0.005119905807077885	0.005119842477142811	0.04676887789911807	570823910107.2351	0.04676887789911807	570823910107.2351
batch	21	0.005383830517530441	0.005383767187595367	0.05154879164256323	66715264118616.47	0.05154879164256323	66715264118616.47
batch	22	0.004010006785392761	0.004009943455457687	0.04289633384723807	755383602699.2415	0.04289633384723807	755383602699.2415
batch	23	0.003709270618855953	0.0037092072889208794	0.04041700909047806	148045492799724.7	0.04041700909047806	148045492799724.7
batch	24	0.004352158401161432	0.004352095071226358	0.04840357449650325	316951445478.6279	0.04840357449650325	316951445478.6279
batch	25	0.0033210571855306625	0.0033209938555955887	0.03911660319073046	391511005487005.1	0.03911660319073046	391511005487005.1
batch	26	0.00425394531339407	0.004253881983458996	0.04320301493910363	30378656747.174103	0.04320301493910363	30378656747.174103
batch	27	0.0039410823956131935	0.00394101906567812	0.043150353701118825	188812627879.64777	0.043150353701118825	188812627879.64777
batch	28	0.003766124602407217	0.003766061272472143	0.0393741465136916	11199980.549253609	0.0393741465136916	11199980.549253609
