Building model ...
Initializing global variables ... 
Starting training for 32 epochs
Epoch	0	loss	degree_cost	TPR	TNR	PPV	NPV	FNR	FPR	FDR	FOR	ACC	F1	MCC	BM	MK	P@10min	P@10max	AUC	degree_TPR	degree_TNR	degree_PPV	degree_NPV	degree_FNR	degree_FPR	degree_FDR	degree_FOR	degree_ACC	degree_F1	degree_MCC	degree_BM	degree_MK	degree_P@10min	degree_P@10max	degree_AUC
batch	0	0.02338440902531147	0.02338440716266632	0.0	1.0	0.0	0.6272673614723241	1.0	0.0	0.0	0.37273263852767585	0.6272673614723241	0.0	0.0	0.0	-0.37273263852767585	0.3418330663757529	0.0	0.5	0.0	1.0	0.0	0.6272673614723241	1.0	0.0	0.0	0.37273263852767585	0.6272673614723241	0.0	0.0	0.0	-0.37273263852767585	0.3418330663757529	0.0	0.5
batch	1	0.019872033968567848	0.0198720321059227	0.0	1.0	0.0	0.6310200830318814	1.0	0.0	0.0	0.3689799169681186	0.6310200830318814	0.0	0.0	0.0	-0.36897991696811855	0.35414455611733464	0.0	0.5	0.0	1.0	0.0	0.6310200830318814	1.0	0.0	0.0	0.3689799169681186	0.6310200830318814	0.0	0.0	0.0	-0.36897991696811855	0.35414455611733464	0.0	0.5
batch	2	0.022427678108215332	0.022427676245570183	0.0	1.0	0.0	0.6208171462850474	1.0	0.0	0.0	0.37918285371495253	0.6208171462850474	0.0	0.0	0.0	-0.37918285371495253	0.3431185739233651	0.0	0.5	0.0	1.0	0.0	0.6208171462850474	1.0	0.0	0.0	0.37918285371495253	0.6208171462850474	0.0	0.0	0.0	-0.37918285371495253	0.3431185739233651	0.0	0.5
batch	3	0.018635457381606102	0.018635455518960953	0.0	1.0	0.0	0.6319553895662321	1.0	0.0	0.0	0.368044610433768	0.6319553895662321	0.0	0.0	0.0	-0.368044610433768	0.3421662083569793	0.0	0.5	0.0	1.0	0.0	0.6319553895662321	1.0	0.0	0.0	0.368044610433768	0.6319553895662321	0.0	0.0	0.0	-0.368044610433768	0.3421662083569793	0.0	0.5
batch	4	0.023249030113220215	0.023249028250575066	0.0	1.0	0.0	0.6279772875404784	1.0	0.0	0.0	0.3720227124595215	0.6279772875404784	0.0	0.0	0.0	-0.3720227124595214	0.3164502525200228	0.0	0.5	0.0	1.0	0.0	0.6279772875404784	1.0	0.0	0.0	0.3720227124595215	0.6279772875404784	0.0	0.0	0.0	-0.3720227124595214	0.3164502525200228	0.0	0.5
batch	5	0.018344005569815636	0.018344003707170486	0.0	1.0	0.0	0.6384219015621101	1.0	0.0	0.0	0.3615780984378902	0.6384219015621101	0.0	0.0	0.0	-0.3615780984378901	0.35092652925490053	0.0	0.5	0.0	1.0	0.0	0.6384219015621101	1.0	0.0	0.0	0.3615780984378902	0.6384219015621101	0.0	0.0	0.0	-0.3615780984378901	0.35092652925490053	0.0	0.5
batch	6	0.017671894282102585	0.017671892419457436	0.0	1.0	0.0	0.6290429723639418	1.0	0.0	0.0	0.37095702763605826	0.6290429723639418	0.0	0.0	0.0	-0.37095702763605826	0.37578184459031866	0.0	0.5	0.0	1.0	0.0	0.6290429723639418	1.0	0.0	0.0	0.37095702763605826	0.6290429723639418	0.0	0.0	0.0	-0.37095702763605826	0.37578184459031866	0.0	0.5
batch	7	0.004760295152664185	0.004760292358696461	0.0	1.0	0.0	0.6662158852998535	1.0	0.0	0.0	0.3337841147001464	0.6662158852998535	0.0	0.0	0.0	-0.3337841147001464	0.41357300419706744	0.0	0.5	0.0	1.0	0.0	0.6662158852998535	1.0	0.0	0.0	0.3337841147001464	0.6662158852998535	0.0	0.0	0.0	-0.3337841147001464	0.41357300419706744	0.0	0.5
batch	8	0.019822342321276665	0.019822340458631516	0.0	1.0	0.0	0.634035597647069	1.0	0.0	0.0	0.3659644023529308	0.634035597647069	0.0	0.0	0.0	-0.36596440235293093	0.374859380035631	0.0	0.5	0.0	1.0	0.0	0.634035597647069	1.0	0.0	0.0	0.3659644023529308	0.634035597647069	0.0	0.0	0.0	-0.36596440235293093	0.374859380035631	0.0	0.5
batch	9	0.019348984584212303	0.019348982721567154	0.0	1.0	0.0	0.6261720325500745	1.0	0.0	0.0	0.3738279674499256	0.6261720325500745	0.0	0.0	0.0	-0.3738279674499256	0.349356402970493	0.0	0.5	0.0	1.0	0.0	0.6261720325500745	1.0	0.0	0.0	0.3738279674499256	0.6261720325500745	0.0	0.0	0.0	-0.3738279674499256	0.349356402970493	0.0	0.5
batch	10	0.016580060124397278	0.01658005826175213	0.0	1.0	0.0	0.6402483227825101	1.0	0.0	0.0	0.35975167721749	0.6402483227825101	0.0	0.0	0.0	-0.35975167721749	0.42730982709991455	0.0	0.5	0.0	1.0	0.0	0.6402483227825101	1.0	0.0	0.0	0.35975167721749	0.6402483227825101	0.0	0.0	0.0	-0.35975167721749	0.42730982709991455	0.0	0.5
batch	11	0.019717078655958176	0.019717076793313026	0.0	1.0	0.0	0.6288815869488863	1.0	0.0	0.0	0.3711184130511138	0.6288815869488863	0.0	0.0	0.0	-0.3711184130511138	0.3634431340684651	0.0	0.5	0.0	1.0	0.0	0.6288815869488863	1.0	0.0	0.0	0.3711184130511138	0.6288815869488863	0.0	0.0	0.0	-0.3711184130511138	0.3634431340684651	0.0	0.5
batch	12	0.02638138271868229	0.02638138085603714	0.0	1.0	0.0	0.6169753045874178	1.0	0.0	0.0	0.38302469541258216	0.6169753045874178	0.0	0.0	0.0	-0.3830246954125822	0.3265000347373892	0.0	0.5	0.0	1.0	0.0	0.6169753045874178	1.0	0.0	0.0	0.38302469541258216	0.6169753045874178	0.0	0.0	0.0	-0.3830246954125822	0.3265000347373892	0.0	0.5
batch	13	0.023688141256570816	0.023688139393925667	0.0	1.0	0.0	0.6186428298737365	1.0	0.0	0.0	0.38135717012626347	0.6186428298737365	0.0	0.0	0.0	-0.38135717012626347	0.35597019790535606	0.0	0.5	0.0	1.0	0.0	0.6186428298737365	1.0	0.0	0.0	0.38135717012626347	0.6186428298737365	0.0	0.0	0.0	-0.38135717012626347	0.35597019790535606	0.0	0.5
batch	14	0.02400903031229973	0.02400902844965458	0.0	1.0	0.0	0.6341485613264252	1.0	0.0	0.0	0.36585143867357484	0.6341485613264252	0.0	0.0	0.0	-0.3658514386735748	0.361212797406016	0.0	0.5	0.0	1.0	0.0	0.6341485613264252	1.0	0.0	0.0	0.36585143867357484	0.6341485613264252	0.0	0.0	0.0	-0.3658514386735748	0.361212797406016	0.0	0.5
batch	15	0.019436942413449287	0.019436940550804138	0.0	1.0	0.0	0.6327706494087089	1.0	0.0	0.0	0.3672293505912912	0.6327706494087089	0.0	0.0	0.0	-0.3672293505912912	0.36597644590619205	0.0	0.5	0.0	1.0	0.0	0.6327706494087089	1.0	0.0	0.0	0.3672293505912912	0.6327706494087089	0.0	0.0	0.0	-0.3672293505912912	0.36597644590619205	0.0	0.5
batch	16	0.019756697118282318	0.01975669525563717	0.0	1.0	0.0	0.6302080288673539	1.0	0.0	0.0	0.36979197113264595	0.6302080288673539	0.0	0.0	0.0	-0.369791971132646	0.3533537645051867	0.0	0.5	0.0	1.0	0.0	0.6302080288673539	1.0	0.0	0.0	0.36979197113264595	0.6302080288673539	0.0	0.0	0.0	-0.369791971132646	0.3533537645051867	0.0	0.5
