Building model ...
Initializing global variables ... 
Starting training for 32 epochs
Epoch	0	loss	betweenness_cost	closeness_cost	degree_cost	eigenvector_cost	ABS	REL	betweenness_ABS	betweenness_REL	closeness_ABS	closeness_REL	degree_ABS	degree_REL	eigenvector_ABS	eigenvector_REL
batch	0	0.6174320578575134	0.020931292325258255	0.29646867513656616	0.024398574605584145	0.27563345432281494	0.2954812989147856	569887295599.1594	0.06491093903322966	1.0083715350895783	0.4817965363764117	1.5800737268076057	0.11734836352893178	1.0919577695640983	0.5178693567205691	2279549182392.9575
batch	1	0.6041781306266785	0.01952926442027092	0.28373944759368896	0.0207904651761055	0.2801189422607422	0.2910708566300727	2911183142660.976	0.06243070902307414	1.0131779144058437	0.4733254502295292	1.6182233025464599	0.1062650238713426	1.0917701963576585	0.5222622433963447	11644732570640.182
batch	2	0.6220614910125732	0.019458051770925522	0.3038180470466614	0.02332119457423687	0.27546414732933044	0.29654342618816604	44254134976.65635	0.05951452357207409	1.0145877945249941	0.4933677961128034	1.5200570202035748	0.11590550915620638	1.0882021863873428	0.5173858759115804	177016539903.00256
batch	3	0.578456699848175	0.016648899763822556	0.2646985650062561	0.019529595971107483	0.2775796055793762	0.28758004762626377	1384561397.956226	0.057806360277996204	1.0117784856847847	0.4679375616478056	1.505898012850709	0.10440276516539822	1.0844185421817294	0.5201735034138552	5538245588.22281
batch	4	0.5912867784500122	0.014235635288059711	0.27948474884033203	0.024342171847820282	0.27322423458099365	0.29319276480474254	2281952454.442745	0.054058848586283216	1.0121636898605668	0.4817638814826971	1.4709920303585173	0.1201880666019244	1.0767129541638238	0.5167602625480654	9127809814.211113
batch	5	0.5436837673187256	0.016507498919963837	0.23069801926612854	0.01921980269253254	0.27725842595100403	0.2779360443404878	694576396.3558784	0.057709731074676474	1.0092372490422141	0.43196788675594633	1.408380248885069	0.10244659857034488	1.0877044882853506	0.5196199609609836	2778305581.9181914
batch	6	0.5524808764457703	0.018944457173347473	0.23254472017288208	0.01842530071735382	0.2825663685798645	0.2799083361508239	25917392446566.74	0.06057196264083908	1.0187111805891056	0.4330640812791867	1.3509968234488234	0.10202242295812132	1.0906348169073574	0.5239748777251484	103669569786263.5
batch	7	0.45501601696014404	0.024494647979736328	0.1334640085697174	0.005174553487449884	0.29188278317451477	0.24754561787250728	941066485639.5043	0.0749893299267869	1.0080364378806173	0.3276855458057261	1.3513373894922593	0.056993083279688626	1.1126341633003665	0.5305145124778275	3764265942554.545
batch	8	0.5390526056289673	0.015540552325546741	0.21973682940006256	0.02068289741873741	0.2830922603607178	0.2805435914736874	22617439980.73436	0.055519429049601166	1.0177328189984147	0.43157418468083536	1.2806606871603878	0.11031395694433267	1.0806307304067408	0.5247667952199804	90469759919.55841
batch	9	0.5472768545150757	0.01664051041007042	0.2095600962638855	0.019952449947595596	0.3011237382888794	0.2792909573086819	759970402.3574159	0.05493556231585757	1.0119375968735813	0.4165329583795699	1.2722912573569176	0.10356622760788396	1.0776020218715223	0.5421290809314163	3039881606.067833
batch	10	0.5136367678642273	0.023134492337703705	0.17557916045188904	0.01717790961265564	0.2977451682090759	0.2657067368031576	260207409239.1537	0.06987641365982354	1.009784871970475	0.36329188997926537	1.2630086939630374	0.09235304671135944	1.097238808399313	0.537305596862182	1040829636953.2448
batch	11	0.5410603880882263	0.013489872217178345	0.20520751178264618	0.020244130864739418	0.30211877822875977	0.2765741497896447	2051368147195.165	0.04685307431363076	1.009716309112244	0.41276402194150275	1.2175652292631511	0.10342404790096263	1.0783524414490637	0.5432554550024824	8205472588777.3545
