Building model ...
Initializing global variables ... 
Starting training for 32 epochs
Epoch	0	loss	degree_cost	ABS	REL	degree_ABS	degree_REL
batch	0	0.02401171810925007	0.024011684581637383	0.11553321846825423	1.0409814933935861	0.11553321846825423	1.0409814933935861
batch	1	0.020428456366062164	0.020428422838449478	0.10452085029190947	1.0426073306378942	0.10452085029190947	1.0426073306378942
batch	2	0.02297161892056465	0.022971585392951965	0.11408735803234692	1.0389039545973393	0.11408735803234692	1.0389039545973393
batch	3	0.019172266125679016	0.01917223259806633	0.1025878720039332	1.0399394257039183	0.1025878720039332	1.0399394257039183
batch	4	0.023902228102087975	0.02390219457447529	0.11836583923163087	1.0365267540212082	0.11836583923163087	1.0365267540212082
batch	5	0.01887824758887291	0.018878214061260223	0.10067296935151708	1.0389596082995523	0.10067296935151708	1.0389596082995523
batch	6	0.01815754547715187	0.018157511949539185	0.10026054324428278	1.037601924166471	0.10026054324428278	1.037601924166471
batch	7	0.005018225871026516	0.005018193274736404	0.055185088708830425	1.0451628503460368	0.055185088708830425	1.0451628503460368
batch	8	0.02040034532546997	0.020400311797857285	0.10854824320996576	1.0343847155691444	0.10854824320996576	1.0343847155691444
batch	9	0.01978273130953312	0.019782697781920433	0.10222037463248275	1.0333016090316054	0.10222037463248275	1.0333016090316054
batch	10	0.016996268182992935	0.01699623465538025	0.0908590492657421	1.0349201247778532	0.0908590492657421	1.0349201247778532
batch	11	0.02010716125369072	0.020107127726078033	0.10215559402998374	1.0304487478860647	0.10215559402998374	1.0304487478860647
batch	12	0.02686941623687744	0.026869382709264755	0.12701600801713547	1.027361529879563	0.12701600801713547	1.027361529879563
batch	13	0.024170387536287308	0.02417035400867462	0.11762829634255503	1.02704521257362	0.11762829634255503	1.02704521257362
batch	14	0.024520499631762505	0.02452046610414982	0.11716380409554536	1.0283336599378259	0.11716380409554536	1.0283336599378259
batch	15	0.019773583859205246	0.01977355033159256	0.09960614857373577	1.026230162341063	0.09960614857373577	1.026230162341063
batch	16	0.020193710923194885	0.0201936773955822	0.10717504305046609	1.0245120566050396	0.10717504305046609	1.0245120566050396
batch	17	0.02285054512321949	0.022850511595606804	0.11244731444468792	1.0229968334697246	0.11244731444468792	1.0229968334697246
batch	18	0.019717039540410042	0.019717006012797356	0.1051685708972927	1.0247059189767067	0.1051685708972927	1.0247059189767067
batch	19	0.03525213152170181	0.03525209799408913	0.15221751246001838	1.017193172515022	0.15221751246001838	1.017193172515022
batch	20	0.021224213764071465	0.02122418023645878	0.10484709172832822	1.0189076947349656	0.10484709172832822	1.0189076947349656
batch	21	0.015241996385157108	0.015241963788866997	0.08989452012187032	1.0212859354374413	0.08989452012187032	1.0212859354374413
batch	22	0.03266182169318199	0.032661788165569305	0.14322723570151588	1.0158847123895454	0.14322723570151588	1.0158847123895454
batch	23	0.02213471010327339	0.022134676575660706	0.11253185756349375	1.018581253851866	0.11253185756349375	1.018581253851866
batch	24	0.023378178477287292	0.023378144949674606	0.11730271574078545	1.019559028289244	0.11730271574078545	1.019559028289244
batch	25	0.02143854647874832	0.021438512951135635	0.10492112271847336	1.0158094112791456	0.10492112271847336	1.0158094112791456
batch	26	0.014703772962093353	0.014703740365803242	0.0863782375774783	1.0168690930375708	0.0863782375774783	1.0168690930375708
batch	27	0.022932758554816246	0.02293272502720356	0.11406201094229396	1.0141410329091913	0.11406201094229396	1.0141410329091913
batch	28	0.026774149388074875	0.02677411586046219	0.12655144708264393	1.0125085260926279	0.12655144708264393	1.0125085260926279
batch	29	0.02011025883257389	0.020110225304961205	0.10062075737484574	1.0091413934552567	0.10062075737484574	1.0091413934552567
batch	30	0.023648366332054138	0.023648332804441452	0.11498354082235379	1.0109631568405844	0.11498354082235379	1.0109631568405844
batch	31	0.03164037689566612	0.031640343368053436	0.14409224078471702	1.009663085071737	0.14409224078471702	1.009663085071737
batch	test	0.030885033309459686	0.030884999781847	0.090122140495664	1.0101113675290396	0.090122140495664	1.0101113675290396
batch	test	0.04128235951066017	0.041282325983047485	0.11649212292513338	1.010792052083396	0.11649212292513338	1.010792052083396
batch	test	0.040666211396455765	0.04066617786884308	0.11537204411931974	1.011762726273493	0.11537204411931974	1.011762726273493
batch	test	0.03094019740819931	0.030940163880586624	0.09027847460765123	1.0089884359568673	0.09027847460765123	1.0089884359568673
batch	test	0.061009619385004044	0.06100958585739136	0.16232184179425754	1.00860379644995	0.16232184179425754	1.00860379644995
batch	test	0.046244729310274124	0.04624469578266144	0.12653312242715914	1.0089811355227076	0.12653312242715914	1.0089811355227076
batch	test	0.045903537422418594	0.04590350389480591	0.12697885304167403	1.0099617936305059	0.12697885304167403	1.0099617936305059
batch	test	0.030745413154363632	0.030745379626750946	0.08892037576337099	1.008323312149	0.08892037576337099	1.008323312149
EPOCH	summary	0.021845727402251214	0.02184569396195002	0.10977601489097237	1.0261072315037005	0.10977601489097237	1.0261072315037005	0.040959637612104416	0.04095960408449173	0.11462737189677874	1.00969057744937	0.11462737189677874	1.00969057744937
SAVING MODEL WEIGHTS TO centrality-degree
Epoch	1	loss	degree_cost	ABS	REL	degree_ABS	degree_REL
batch	0	0.029856089502573013	0.029856055974960327	0.13740871172675023	1.0103981851240633	0.13740871172675023	1.0103981851240633
batch	1	0.01947040483355522	0.019470371305942535	0.10066991495439687	1.00570451420655	0.10066991495439687	1.00570451420655
batch	2	0.02327018603682518	0.023270152509212494	0.11022283116142896	1.005538689827582	0.11022283116142896	1.005538689827582
