Building model ...
Initializing global variables ... 
Starting training for 32 epochs
Epoch	0	loss	betweenness_cost	TPR	TNR	PPV	NPV	FNR	FPR	FDR	FOR	ACC	F1	MCC	BM	MK	P@10min	P@10max	AUC	betweenness_TPR	betweenness_TNR	betweenness_PPV	betweenness_NPV	betweenness_FNR	betweenness_FPR	betweenness_FDR	betweenness_FOR	betweenness_ACC	betweenness_F1	betweenness_MCC	betweenness_BM	betweenness_MK	betweenness_P@10min	betweenness_P@10max	betweenness_AUC
batch	0	0.7032807469367981	0.7032806873321533	0.7759962113720594	0.00851197455995413	0.3741360530274403	0.14796805453329787	0.22400378862794038	0.9914880254400458	0.6258639469725595	0.852031945466702	0.34465930633183367	0.4981659150908304	-0.282191503503224	-0.2154918140679862	-0.47789589243926167	0.3156223288567173	0.0	0.1883824351799436	0.7759962113720594	0.00851197455995413	0.3741360530274403	0.14796805453329787	0.22400378862794038	0.9914880254400458	0.6258639469725595	0.852031945466702	0.34465930633183367	0.4981659150908304	-0.282191503503224	-0.2154918140679862	-0.47789589243926167	0.3156223288567173	0.0	0.1883824351799436
batch	1	0.7027814984321594	0.7027814388275146	0.6730660078137058	0.05069479928898138	0.32759050006248414	0.1652952180630311	0.3269339921862941	0.9493052007110185	0.6724094999375159	0.8347047819369688	0.3203627044683766	0.4333707631638496	-0.33211457439640224	-0.27623919289731275	-0.5071142818744847	0.29470072919914614	0.0	0.21075014283391091	0.6730660078137058	0.05069479928898138	0.32759050006248414	0.1652952180630311	0.3269339921862941	0.9493052007110185	0.6724094999375159	0.8347047819369688	0.3203627044683766	0.4333707631638496	-0.33211457439640224	-0.27623919289731275	-0.5071142818744847	0.29470072919914614	0.0	0.21075014283391091
batch	2	0.701748788356781	0.7017487287521362	0.5984377212743023	0.22994546272778174	0.27962234373865363	0.27549122110164503	0.4015622787256979	0.7700545372722184	0.7203776562613462	0.7245087788983551	0.3731332515832905	0.3761038049881664	-0.24211836160817563	-0.17161681599791606	-0.44488643515970133	0.2879698066484977	0.0	0.2164013067045069	0.5984377212743023	0.22994546272778174	0.27962234373865363	0.27549122110164503	0.4015622787256979	0.7700545372722184	0.7203776562613462	0.7245087788983551	0.3731332515832905	0.3761038049881664	-0.24211836160817563	-0.17161681599791606	-0.44488643515970133	0.2879698066484977	0.0	0.2164013067045069
batch	3	0.7005464434623718	0.700546383857727	0.6965041591021706	0.1883242440558499	0.3339594226958313	0.222648098142018	0.30349584089782944	0.8116757559441502	0.6347905773041688	0.6211019018579821	0.4111833343028356	0.4473962266432372	-0.16250816621759392	-0.11517159684197956	-0.44339247916215063	0.23259406771116606	0.0	0.22745316782768818	0.6965041591021706	0.1883242440558499	0.3339594226958313	0.222648098142018	0.30349584089782944	0.8116757559441502	0.6347905773041688	0.6211019018579821	0.4111833343028356	0.4473962266432372	-0.16250816621759392	-0.11517159684197956	-0.44339247916215063	0.23259406771116606	0.0	0.22745316782768818
batch	4	0.6990542411804199	0.6990541815757751	0.6530086601533678	0.25064560065375846	0.31606283900079346	0.2777311021433653	0.3469913398466323	0.7493543993462416	0.6214371609992065	0.5660188978566347	0.42662913205151826	0.4229047354006313	-0.13092119955748227	-0.09634573919287379	-0.40620605885584127	0.19328533507292942	0.0	0.2271329032844055	0.6530086601533678	0.25064560065375846	0.31606283900079346	0.2777311021433653	0.3469913398466323	0.7493543993462416	0.6214371609992065	0.5660188978566347	0.42662913205151826	0.4229047354006313	-0.13092119955748227	-0.09634573919287379	-0.40620605885584127	0.19328533507292942	0.0	0.2271329032844055
batch	5	0.6980581879615784	0.6980581283569336	0.7118517569808616	0.24279872700472332	0.3352704109093658	0.3134564329368512	0.2881482430191385	0.7572012729952767	0.5709795890906343	0.3427935670631488	0.4426978133653358	0.4529473735455175	-0.06805321167998335	-0.045349516014415205	-0.3512731561537829	0.19398746881219825	0.0	0.2899653169649671	0.7118517569808616	0.24279872700472332	0.3352704109093658	0.3134564329368512	0.2881482430191385	0.7572012729952767	0.5709795890906343	0.3427935670631488	0.4426978133653358	0.4529473735455175	-0.06805321167998335	-0.045349516014415205	-0.3512731561537829	0.19398746881219825	0.0	0.2899653169649671
batch	6	0.6980054974555969	0.6980054378509521	0.703902061300639	0.2037358747374807	0.34295873665117593	0.35530648253480346	0.296097938699361	0.7962641252625193	0.500791263348824	0.48844351746519654	0.41431290745275867	0.4572037877104556	-0.11573900904424195	-0.09236206396188026	-0.30173478081402055	0.2102229256198979	0.005208333333333333	0.320029322378074	0.703902061300639	0.2037358747374807	0.34295873665117593	0.35530648253480346	0.296097938699361	0.7962641252625193	0.500791263348824	0.48844351746519654	0.41431290745275867	0.4572037877104556	-0.11573900904424195	-0.09236206396188026	-0.30173478081402055	0.2102229256198979	0.005208333333333333	0.320029322378074
batch	7	0.6956555843353271	0.6956555247306824	0.9062825900101272	0.10233287313311991	0.43479209841494754	0.3699145012841234	0.09371740998987271	0.89766712686688	0.5652079015850525	0.2863354987158766	0.45754032800164074	0.5849547173571302	0.0012650905655679466	0.008615463143247216	-0.19529340030092898	0.11604282484423467	0.020138888888888887	0.4611702623441546	0.9062825900101272	0.10233287313311991	0.43479209841494754	0.3699145012841234	0.09371740998987271	0.89766712686688	0.5652079015850525	0.2863354987158766	0.45754032800164074	0.5849547173571302	0.0012650905655679466	0.008615463143247216	-0.19529340030092898	0.11604282484423467	0.020138888888888887	0.4611702623441546
batch	8	0.6953931450843811	0.6953930854797363	0.7130564661293531	0.2452678332510351	0.35684689296073047	0.3521429998518823	0.28694353387064686	0.7547321667489649	0.5181531070392695	0.39785700014811765	0.4512472376558633	0.4714062287245045	-0.060607021790091836	-0.04167570061961176	-0.2910101071873872	0.18615933094417822	0.0945436507936508	0.3683882628507779	0.7130564661293531	0.2452678332510351	0.35684689296073047	0.3521429998518823	0.28694353387064686	0.7547321667489649	0.5181531070392695	0.39785700014811765	0.4512472376558633	0.4714062287245045	-0.060607021790091836	-0.04167570061961176	-0.2910101071873872	0.18615933094417822	0.0945436507936508	0.3683882628507779
batch	9	0.6940029859542847	0.6940029263496399	0.6853533775055114	0.29032799274518717	0.35797220132883717	0.44131220725621645	0.3146466224944885	0.7096720072548127	0.45452779867116283	0.4649377927437836	0.46506120581792837	0.46309061294142395	-0.03572373567804644	-0.024318629749301348	-0.20071559141494622	0.13555632706103857	0.08973214285714286	0.3965950820391394	0.6853533775055114	0.29032799274518717	0.35797220132883717	0.44131220725621645	0.3146466224944885	0.7096720072548127	0.45452779867116283	0.4649377927437836	0.46506120581792837	0.46309061294142395	-0.03572373567804644	-0.024318629749301348	-0.20071559141494622	0.13555632706103857	0.08973214285714286	0.3965950820391394
