Building model ...
Initializing global variables ... 
Starting training for 32 epochs
Epoch	0	loss	eigenvector_cost	TPR	TNR	PPV	NPV	FNR	FPR	FDR	FOR	ACC	F1	MCC	BM	MK	P@10min	P@10max	AUC	eigenvector_TPR	eigenvector_TNR	eigenvector_PPV	eigenvector_NPV	eigenvector_FNR	eigenvector_FPR	eigenvector_FDR	eigenvector_FOR	eigenvector_ACC	eigenvector_F1	eigenvector_MCC	eigenvector_BM	eigenvector_MK	eigenvector_P@10min	eigenvector_P@10max	eigenvector_AUC
batch	0	0.6992083191871643	0.6992082595825195	0.7624859100583398	0.010737195688299117	0.41070253802234613	0.06555159786201115	0.2375140899416602	0.9892628043117008	0.589297461977654	0.9344484021379889	0.37596680370945484	0.5316618723056541	-0.30689356982787225	-0.22677689425336106	-0.5237458641156428	0.04217461208749572	0.0	0.23038457389094347	0.7624859100583398	0.010737195688299117	0.41070253802234613	0.06555159786201115	0.2375140899416602	0.9892628043117008	0.589297461977654	0.9344484021379889	0.37596680370945484	0.5316618723056541	-0.30689356982787225	-0.22677689425336106	-0.5237458641156428	0.04217461208749572	0.0	0.23038457389094347
batch	1	0.6991873979568481	0.6991873383522034	0.653285005579676	0.09180558116613297	0.34616318307800586	0.14584991305009923	0.3467149944203241	0.9081944188338672	0.6538368169219942	0.8541500869499006	0.3628438059940122	0.45069749368078366	-0.319507841017342	-0.2549094132541911	-0.5079869038718949	0.03916935788060438	0.0	0.24360849966451584	0.653285005579676	0.09180558116613297	0.34616318307800586	0.14584991305009923	0.3467149944203241	0.9081944188338672	0.6538368169219942	0.8541500869499006	0.3628438059940122	0.45069749368078366	-0.319507841017342	-0.2549094132541911	-0.5079869038718949	0.03916935788060438	0.0	0.24360849966451584
batch	2	0.6985687613487244	0.6985687017440796	0.5850486228755921	0.27107304745991884	0.3128228660138127	0.22348926499364616	0.41495137712440794	0.7289269525400812	0.6871771339861875	0.7765107350063539	0.4188790199927748	0.40603558804706663	-0.2190963247426259	-0.14387832966448916	-0.4636878689925413	0.029325339351872898	0.0	0.23230237008905813	0.5850486228755921	0.27107304745991884	0.3128228660138127	0.22348926499364616	0.41495137712440794	0.7289269525400812	0.6871771339861875	0.7765107350063539	0.4188790199927748	0.40603558804706663	-0.2190963247426259	-0.14387832966448916	-0.4636878689925413	0.029325339351872898	0.0	0.23230237008905813
batch	3	0.698100745677948	0.6981006860733032	0.6662012065954557	0.2195017446345873	0.3537489465060249	0.20085273495864953	0.3337987934045443	0.7804982553654127	0.5525010534939752	0.6428972650413505	0.436005034691094	0.46056499357095215	-0.15896211682398528	-0.11429704876995701	-0.4453983185353256	0.10794011080690775	0.012276785714285714	0.2414104712188031	0.6662012065954557	0.2195017446345873	0.3537489465060249	0.20085273495864953	0.3337987934045443	0.7804982553654127	0.5525010534939752	0.6428972650413505	0.436005034691094	0.46056499357095215	-0.15896211682398528	-0.11429704876995701	-0.4453983185353256	0.10794011080690775	0.012276785714285714	0.2414104712188031
batch	4	0.6969742178916931	0.6969741582870483	0.6107563460029302	0.284192665808865	0.32689153064763665	0.228604880554486	0.3892436539970699	0.715807334191135	0.5481084693523633	0.7401451194455139	0.44223725763836597	0.4238986677910129	-0.1581290707480697	-0.10505098818820488	-0.44450358879787744	0.11966435157677785	0.020089285714285712	0.247449146602278	0.6107563460029302	0.284192665808865	0.32689153064763665	0.228604880554486	0.3892436539970699	0.715807334191135	0.5481084693523633	0.7401451194455139	0.44223725763836597	0.4238986677910129	-0.1581290707480697	-0.10505098818820488	-0.44450358879787744	0.11966435157677785	0.020089285714285712	0.247449146602278
batch	5	0.6960644125938416	0.6960643529891968	0.6349459868696505	0.2740506080636635	0.345969739313582	0.23890225540639465	0.3650540131303497	0.7259493919363367	0.5290302606864179	0.7298477445936055	0.44819846752737913	0.44625650316108173	-0.13029104444656225	-0.09100340506668621	-0.4151280052800233	0.20036349605654905	0.04427083333333333	0.2912618168524995	0.6349459868696505	0.2740506080636635	0.345969739313582	0.23890225540639465	0.3650540131303497	0.7259493919363367	0.5290302606864179	0.7298477445936055	0.44819846752737913	0.44625650316108173	-0.13029104444656225	-0.09100340506668621	-0.4151280052800233	0.20036349605654905	0.04427083333333333	0.2912618168524995
batch	6	0.6961166858673096	0.6961166262626648	0.5723130469915831	0.24145301521012646	0.3453039180969344	0.260491652468568	0.4276869530084167	0.7585469847898735	0.4984460819030656	0.739508347531432	0.4007819238637893	0.42906086889500444	-0.22654771820675798	-0.18623393779829023	-0.3942044294344977	0.2777480181573165	0.09644097222222223	0.30940498909435393	0.5723130469915831	0.24145301521012646	0.3453039180969344	0.260491652468568	0.4276869530084167	0.7585469847898735	0.4984460819030656	0.739508347531432	0.4007819238637893	0.42906086889500444	-0.22654771820675798	-0.18623393779829023	-0.3942044294344977	0.2777480181573165	0.09644097222222223	0.30940498909435393
batch	7	0.6940943002700806	0.6940942406654358	0.7313800925203608	0.11625921536885296	0.42701469982341766	0.2602820554691685	0.26861990747963904	0.883740784631147	0.5729853001765823	0.7397179445308316	0.4145217705228946	0.5363839600168385	-0.1963879302902839	-0.15236069211078612	-0.31270324470741384	0.35384345710254833	0.11676587301587303	0.42426597499635516	0.7313800925203608	0.11625921536885296	0.42701469982341766	0.2602820554691685	0.26861990747963904	0.883740784631147	0.5729853001765823	0.7397179445308316	0.4145217705228946	0.5363839600168385	-0.1963879302902839	-0.15236069211078612	-0.31270324470741384	0.35384345710254833	0.11676587301587303	0.42426597499635516
batch	8	0.6945790648460388	0.694579005241394	0.5709137919641838	0.2913794481305953	0.34830032318281035	0.32704057156807753	0.42908620803581615	0.7086205518694049	0.49544967681718965	0.6729594284319225	0.42696499237292995	0.42850440917202476	-0.17497639038200322	-0.1377067599052208	-0.3246591052491121	0.3578285058477547	0.23082837301587303	0.35504064137613855	0.5709137919641838	0.2913794481305953	0.34830032318281035	0.32704057156807753	0.42908620803581615	0.7086205518694049	0.49544967681718965	0.6729594284319225	0.42696499237292995	0.42850440917202476	-0.17497639038200322	-0.1377067599052208	-0.3246591052491121	0.3578285058477547	0.23082837301587303	0.35504064137613855
batch	9	0.6932405829429626	0.6932405233383179	0.5310084487653849	0.3714914191836959	0.34665525010185577	0.4294483995350623	0.46899155123461506	0.628508580816304	0.4658447498981443	0.5705516004649378	0.44737061772082964	0.41491220376958304	-0.11038166288440114	-0.09750013205091893	-0.2238963503630821	0.3229641889991844	0.28158482142857144	0.37558833422536936	0.5310084487653849	0.3714914191836959	0.34665525010185577	0.4294483995350623	0.46899155123461506	0.628508580816304	0.4658447498981443	0.5705516004649378	0.44737061772082964	0.41491220376958304	-0.11038166288440114	-0.09750013205091893	-0.2238963503630821	0.3229641889991844	0.28158482142857144	0.37558833422536936
batch	10	0.6911777853965759	0.6911777257919312	0.5107563073074963	0.4484388781694609	0.3774853956911796	0.4936595349082808	0.48924369269250373	0.5515611218305391	0.4662646043088205	0.5063404650917191	0.47762498240267776	0.4309474943901515	-0.04345138454295272	-0.04080481452304274	-0.1288550694005396	0.31948801003000993	0.3765625	0.42854581634647243	0.5107563073074963	0.4484388781694609	0.3774853956911796	0.4936595349082808	0.48924369269250373	0.5515611218305391	0.4662646043088205	0.5063404650917191	0.47762498240267776	0.4309474943901515	-0.04345138454295272	-0.04080481452304274	-0.1288550694005396	0.31948801003000993	0.3765625	0.42854581634647243
