Building model ...
Initializing global variables ... 
Starting training for 32 epochs
Epoch	0	loss	degree_cost	TPR	TNR	PPV	NPV	FNR	FPR	FDR	FOR	ACC	F1	MCC	BM	MK	P@10min	P@10max	AUC	degree_TPR	degree_TNR	degree_PPV	degree_NPV	degree_FNR	degree_FPR	degree_FDR	degree_FOR	degree_ACC	degree_F1	degree_MCC	degree_BM	degree_MK	degree_P@10min	degree_P@10max	degree_AUC
batch	0	0.7072157859802246	0.7072157263755798	0.613759225162348	0.01915475519262334	0.23580044073341122	0.113376917326412	0.38624077483765196	0.9808452448073766	0.7641995592665886	0.886623082673588	0.2195280675324067	0.33448156973490734	-0.4525030739648117	-0.36708601964502857	-0.6508226419401764	0.298828125	0.0	0.12064412289381723	0.613759225162348	0.01915475519262334	0.23580044073341122	0.113376917326412	0.38624077483765196	0.9808452448073766	0.7641995592665886	0.886623082673588	0.2195280675324067	0.33448156973490734	-0.4525030739648117	-0.36708601964502857	-0.6508226419401764	0.298828125	0.0	0.12064412289381723
batch	1	0.7064887881278992	0.7064887285232544	0.4542675933149635	0.1876067057870507	0.16049412046394787	0.20344986288829436	0.5457324066850364	0.8123932942129493	0.8395058795360523	0.7965501371117056	0.25056112599745745	0.23572754202529964	-0.4514251730239397	-0.35812570089798573	-0.6360560166477578	0.28125	0.0	0.12018966809748274	0.4542675933149635	0.1876067057870507	0.16049412046394787	0.20344986288829436	0.5457324066850364	0.8123932942129493	0.8395058795360523	0.7965501371117056	0.25056112599745745	0.23572754202529964	-0.4514251730239397	-0.35812570089798573	-0.6360560166477578	0.28125	0.0	0.12018966809748274
batch	2	0.7044565677642822	0.7044565081596375	0.3170123833118872	0.294181230385355	0.11171470569181176	0.30891633927900597	0.6829876166881128	0.7058187696146448	0.8257852943081883	0.691083660720994	0.2620378383851855	0.16437710253437465	-0.42517709447714364	-0.38880638630275777	-0.5793689550291823	0.30922345263145423	0.0	0.13028276866317	0.3170123833118872	0.294181230385355	0.11171470569181176	0.30891633927900597	0.6829876166881128	0.7058187696146448	0.8257852943081883	0.691083660720994	0.2620378383851855	0.16437710253437465	-0.42517709447714364	-0.38880638630275777	-0.5793689550291823	0.30922345263145423	0.0	0.13028276866317
batch	3	0.7036688923835754	0.7036688327789307	0.22654662178504292	0.25930145756282413	0.08229398648665757	0.2978585679463187	0.7734533782149571	0.7406985424371759	0.7614560135133424	0.7021414320536817	0.21863548145712364	0.11997932482630576	-0.524134648099912	-0.514151920652133	-0.6198474455670239	0.24223659654620205	0.0	0.10719124564515753	0.22654662178504292	0.25930145756282413	0.08229398648665757	0.2978585679463187	0.7734533782149571	0.7406985424371759	0.7614560135133424	0.7021414320536817	0.21863548145712364	0.11997932482630576	-0.524134648099912	-0.514151920652133	-0.6198474455670239	0.24223659654620205	0.0	0.10719124564515753
batch	4	0.7013798356056213	0.7013797760009766	0.18543571760134345	0.4428172179030334	0.07140015985310394	0.453489676077298	0.8145642823986566	0.5571827820969666	0.741099840146896	0.5465103239227019	0.32030636276305485	0.10165281692764233	-0.36784938318332844	-0.37174706449562306	-0.47511016406959816	0.18544395371126873	0.0	0.10294750833034595	0.18543571760134345	0.4428172179030334	0.07140015985310394	0.453489676077298	0.8145642823986566	0.5571827820969666	0.741099840146896	0.5465103239227019	0.32030636276305485	0.10165281692764233	-0.36784938318332844	-0.37174706449562306	-0.47511016406959816	0.18544395371126873	0.0	0.10294750833034595
batch	5	0.699958860874176	0.6999588012695312	0.22534525413848214	0.4960593741093018	0.08529755935639562	0.5211795545389347	0.774654745861518	0.5039406258906982	0.6959524406436044	0.47882044546106534	0.37040480492517525	0.12211245782581684	-0.2842041601387766	-0.2785953717522161	-0.3935228861046696	0.1993588861887064	0.0	0.15581546416670777	0.22534525413848214	0.4960593741093018	0.08529755935639562	0.5211795545389347	0.774654745861518	0.5039406258906982	0.6959524406436044	0.47882044546106534	0.37040480492517525	0.12211245782581684	-0.2842041601387766	-0.2785953717522161	-0.3935228861046696	0.1993588861887064	0.0	0.15581546416670777
batch	6	0.7002070546150208	0.700206995010376	0.23895719853349162	0.5034192749242388	0.08779828823916748	0.5269542027907522	0.7610428014665084	0.49658072507576123	0.7559517117608325	0.47304579720924783	0.37631574550386593	0.12776819617789822	-0.2824905576018103	-0.25762352654226967	-0.38524750897008037	0.15870273128642362	0.0	0.17913831964178908	0.23895719853349162	0.5034192749242388	0.08779828823916748	0.5269542027907522	0.7610428014665084	0.49658072507576123	0.7559517117608325	0.47304579720924783	0.37631574550386593	0.12776819617789822	-0.2824905576018103	-0.25762352654226967	-0.38524750897008037	0.15870273128642362	0.0	0.17913831964178908
batch	7	0.6976651549339294	0.6976650953292847	0.3242865045597377	0.5123755200763163	0.12539477054894016	0.6367151138916274	0.6757134954402623	0.4876244799236838	0.87460522945106	0.36328488610837256	0.43335244894876934	0.18057108884732243	-0.19805089512787777	-0.1633379753639461	-0.23789011555943232	0.0728364372895623	0.0	0.30456242543411405	0.3242865045597377	0.5123755200763163	0.12539477054894016	0.6367151138916274	0.6757134954402623	0.4876244799236838	0.87460522945106	0.36328488610837256	0.43335244894876934	0.18057108884732243	-0.19805089512787777	-0.1633379753639461	-0.23789011555943232	0.0728364372895623	0.0	0.30456242543411405
batch	8	0.6961972117424011	0.6961971521377563	0.18182174758540556	0.7090832213017789	0.07557109700980455	0.6135539192593776	0.8181782524145945	0.2909167786982209	0.7681789029901954	0.3864460807406224	0.494470054879879	0.1058247539114948	-0.16124360567120669	-0.10909503111281535	-0.3108749837308178	0.08470668979093882	0.004464285714285714	0.21824670049978284	0.18182174758540556	0.7090832213017789	0.07557109700980455	0.6135539192593776	0.8181782524145945	0.2909167786982209	0.7681789029901954	0.3864460807406224	0.494470054879879	0.1058247539114948	-0.16124360567120669	-0.10909503111281535	-0.3108749837308178	0.08470668979093882	0.004464285714285714	0.21824670049978284
batch	9	0.6947312951087952	0.6947312355041504	0.1882107646062775	0.7918032257379064	0.08181387305491628	0.6432961439847537	0.8117892353937224	0.2081967742620936	0.7306861269450836	0.3567038560152461	0.5440442161517184	0.11403194889361427	-0.07769892020849017	-0.019986009655816088	-0.2748899829603299	0.07449534615451447	0.0	0.23791861257301264	0.1882107646062775	0.7918032257379064	0.08181387305491628	0.6432961439847537	0.8117892353937224	0.2081967742620936	0.7306861269450836	0.3567038560152461	0.5440442161517184	0.11403194889361427	-0.07769892020849017	-0.019986009655816088	-0.2748899829603299	0.07449534615451447	0.0	0.23791861257301264
