Building model ...
Initializing global variables ... 
Starting training for 32 epochs
Epoch	0	loss	closeness_cost	ABS	REL	closeness_ABS	closeness_REL
batch	0	0.015721436589956284	0.01572137326002121	0.10738870677075729	0.6546883780717461	0.10738870677075729	0.6546883780717461
batch	1	0.015884200111031532	0.01588413678109646	0.10722382720467422	0.7841190867091306	0.10722382720467422	0.7841190867091306
batch	2	0.013782024383544922	0.013781961053609848	0.10142557134194016	0.6233979763760212	0.10142557134194016	0.6233979763760212
batch	3	0.010249887593090534	0.01024982426315546	0.0846286144719531	0.5104565152139499	0.0846286144719531	0.5104565152139499
batch	4	0.009501837193965912	0.009501773864030838	0.08090967065235127	0.5167274634956224	0.08090967065235127	0.5167274634956224
batch	5	0.008356116712093353	0.00835605338215828	0.07460363573692533	0.46112735379281555	0.07460363573692533	0.46112735379281555
batch	6	0.008165359497070312	0.008165296167135239	0.07261278384650525	0.4731405322556575	0.07261278384650525	0.4731405322556575
batch	7	0.007515705190598965	0.007515641860663891	0.06702281818144618	0.5106983905835445	0.06702281818144618	0.5106983905835445
batch	8	0.006060809828341007	0.006060746498405933	0.0625121986864451	0.34187766056523566	0.0625121986864451	0.34187766056523566
batch	9	0.005881200078874826	0.005881136748939753	0.06265308872504367	0.34230061646577387	0.06265308872504367	0.34230061646577387
batch	10	0.0064649819396436214	0.006464918609708548	0.06360407732560851	0.4951432057340722	0.06360407732560851	0.4951432057340722
batch	11	0.005168403498828411	0.005168340168893337	0.058800818380338266	0.32596895180566726	0.058800818380338266	0.32596895180566726
batch	12	0.004182977601885796	0.004182914271950722	0.051746544173808307	0.29609026917092146	0.051746544173808307	0.29609026917092146
batch	13	0.004093820229172707	0.004093756899237633	0.05140710356862822	0.2800928872430405	0.05140710356862822	0.2800928872430405
batch	14	0.004141773097217083	0.004141709767282009	0.05067956377648944	0.3432348975863347	0.05067956377648944	0.3432348975863347
batch	15	0.0047892797738313675	0.004789216443896294	0.05493270598712896	0.42999082974897235	0.05493270598712896	0.42999082974897235
batch	16	0.003730195574462414	0.00373013224452734	0.049893165369825215	0.22823027192791923	0.049893165369825215	0.22823027192791923
batch	17	0.0034502968192100525	0.0034502334892749786	0.04700218498319665	0.3025978356634708	0.04700218498319665	0.3025978356634708
batch	18	0.0033618034794926643	0.0033617401495575905	0.04666545660040778	0.2428099607730507	0.04666545660040778	0.2428099607730507
batch	19	0.002557679545134306	0.002557616215199232	0.038101324058548464	0.20768293500554227	0.038101324058548464	0.20768293500554227
batch	20	0.0031911551486700773	0.0031910918187350035	0.04256129659692892	0.370905678362347	0.04256129659692892	0.370905678362347
batch	21	0.0035745170898735523	0.0035744537599384785	0.047910749898238944	0.3548591693669449	0.047910749898238944	0.3548591693669449
batch	22	0.0029306206852197647	0.002930557355284691	0.038510656080362554	0.26730784884285524	0.038510656080362554	0.26730784884285524
batch	23	0.0023006037808954716	0.0023005404509603977	0.03598585262413525	0.2048300550185089	0.03598585262413525	0.2048300550185089
batch	24	0.002500752452760935	0.002500689122825861	0.03792416494309726	0.21007688484057152	0.03792416494309726	0.21007688484057152
batch	25	0.002533075399696827	0.002533012069761753	0.03757904219691304	0.2985691231078038	0.03757904219691304	0.2985691231078038
batch	26	0.0025372847449034452	0.0025372214149683714	0.03901486020060468	0.2577446936503695	0.03901486020060468	0.2577446936503695
batch	27	0.002210675971582532	0.002210612641647458	0.03523563196178652	0.2002778742078713	0.03523563196178652	0.2002778742078713
batch	28	0.0020043770782649517	0.002004313748329878	0.0331797124879215	0.14670353394566932	0.0331797124879215	0.14670353394566932
batch	29	0.0026435968466103077	0.002643533516675234	0.038728970236128084	0.3147505404589636	0.038728970236128084	0.3147505404589636
batch	30	0.0017604316817596555	0.0017603683518245816	0.030768050955012245	0.1909153658248734	0.030768050955012245	0.1909153658248734
batch	31	0.001954292645677924	0.0019542293157428503	0.0317830540748437	0.17537224068522475	0.0317830540748437	0.17537224068522475
batch	test	0.007165322080254555	0.007165258750319481	0.07120524095559556	1.1465863271926782	0.07120524095559556	1.1465863271926782
batch	test	0.005441260989755392	0.005441197659820318	0.0608834049428213	0.7394440399890845	0.0608834049428213	0.7394440399890845
batch	test	0.005143008194863796	0.005142944864928722	0.059256055966976015	0.605837687521168	0.059256055966976015	0.605837687521168
batch	test	0.006662758067250252	0.006662694737315178	0.06839377538552943	1.2372383817724106	0.06839377538552943	1.2372383817724106
batch	test	0.005260436795651913	0.005260373465716839	0.05827297963319539	0.9690626475074295	0.05827297963319539	0.9690626475074295
batch	test	0.0056245350278913975	0.005624471697956324	0.06168291409556813	1.2052768979127206	0.06168291409556813	1.2052768979127206
batch	test	0.005788584239780903	0.005788520909845829	0.0625101982841205	1.0130085064749001	0.0625101982841205	1.0130085064749001
batch	test	0.006395040545612574	0.0063949772156775	0.06604532430121281	1.411806768726337	0.06604532430121281	1.411806768726337
EPOCH	summary	0.005412536633230047	0.0054124733032949734	0.05571862194056231	0.3550840320781402	0.05571862194056231	0.3550840320781402	0.005935118242632598	0.005935054912697524	0.0635312366956274	1.0410326571370911	0.0635312366956274	1.0410326571370911
SAVING MODEL WEIGHTS TO centrality-closeness
Epoch	1	loss	closeness_cost	ABS	REL	closeness_ABS	closeness_REL
batch	0	0.002346081892028451	0.002346018562093377	0.03536186660053677	0.21108716035231745	0.03536186660053677	0.21108716035231745
batch	1	0.0020271281246095896	0.0020270647946745157	0.03424483255300187	0.24692110313067486	0.03424483255300187	0.24692110313067486
