Building model ...
Initializing global variables ... 
Starting training for 32 epochs
Epoch	0	loss	betweenness_cost	ABS	REL	betweenness_ABS	betweenness_REL
batch	0	0.020892217755317688	0.020892154425382614	0.06466414036708526	0.9883483209122952	0.06466414036708526	0.9883483209122952
batch	1	0.01949894428253174	0.019498880952596664	0.06218873587113484	0.9835550427304404	0.06218873587113484	0.9835550427304404
batch	2	0.01941857300698757	0.019418509677052498	0.059281981736387365	0.9811654442745834	0.059281981736387365	0.9811654442745834
batch	3	0.016606654971837997	0.016606591641902924	0.057531711740479705	0.9831556194456219	0.057531711740479705	0.9831556194456219
batch	4	0.014200384728610516	0.014200321398675442	0.053718888189474734	0.9798603840991268	0.053718888189474734	0.9798603840991268
batch	5	0.0164685919880867	0.016468528658151627	0.05741740640826861	0.9836172900532049	0.05741740640826861	0.9836172900532049
batch	6	0.018902411684393883	0.01890234835445881	0.0602884499316165	0.9703172696157204	0.0602884499316165	0.9703172696157204
batch	7	0.024435080587863922	0.02443501725792885	0.07477714962211351	0.9861430009252842	0.07477714962211351	0.9861430009252842
batch	8	0.015485185198485851	0.015485121868550777	0.05513309289295382	0.9672605337821005	0.05513309289295382	0.9672605337821005
batch	9	0.01659797504544258	0.016597911715507507	0.054684730015812553	0.9750453887876468	0.054684730015812553	0.9750453887876468
batch	10	0.023083752021193504	0.02308368869125843	0.0695996380281455	0.9806623626883342	0.0695996380281455	0.9806623626883342
batch	11	0.013456636108458042	0.013456572778522968	0.046627135510790924	0.9771552667278084	0.046627135510790924	0.9771552667278084
batch	12	0.01204443909227848	0.012044375762343407	0.04498765067486489	0.9755761824636343	0.04498765067486489	0.9755761824636343
batch	13	0.016018588095903397	0.016018524765968323	0.051940268048867394	0.9620549266696848	0.051940268048867394	0.9620549266696848
batch	14	0.025766324251890182	0.02576626092195511	0.07480928432762976	0.977062512292872	0.07480928432762976	0.977062512292872
batch	15	0.02466297335922718	0.024662910029292107	0.0710157677090619	0.9791909688423686	0.0710157677090619	0.9791909688423686
batch	16	0.015068170614540577	0.015068107284605503	0.05370173537996227	0.959647956436179	0.05370173537996227	0.959647956436179
batch	17	0.0199628546833992	0.019962791353464127	0.06262954897409607	0.9689942396944475	0.06262954897409607	0.9689942396944475
batch	18	0.015043830499053001	0.015043767169117928	0.0531028803475177	0.9605672011383035	0.0531028803475177	0.9605672011383035
batch	19	0.011203397065401077	0.011203333735466003	0.04241368736251591	0.9702452789347218	0.04241368736251591	0.9702452789347218
batch	20	0.023550309240818024	0.02355024591088295	0.06911998234170447	0.9824733410360056	0.06911998234170447	0.9824733410360056
batch	21	0.019747987389564514	0.01974792405962944	0.06537380058269157	0.9614260901777618	0.06537380058269157	0.9614260901777618
batch	22	0.014351271092891693	0.01435120776295662	0.049829160384745795	0.9717963951087119	0.049829160384745795	0.9717963951087119
